2021:06:09 11:11:29 IST +0530,68.55,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:29 IST +0530,68.65,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:30 IST +0530,68.75,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:30 IST +0530,68.6,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:31 IST +0530,68.8,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:32 IST +0530,68.8,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:32 IST +0530,68.8,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:33 IST +0530,68.8,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:33 IST +0530,68.8,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:34 IST +0530,68.8,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:35 IST +0530,68.7,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:36 IST +0530,68.6,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:36 IST +0530,68.5,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:37 IST +0530,68.5,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:38 IST +0530,68.0,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:38 IST +0530,68.0,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:39 IST +0530,68.0,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:39 IST +0530,68.2,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:40 IST +0530,68.2,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:41 IST +0530,67.65,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:41 IST +0530,67.5,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:42 IST +0530,67.5,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:43 IST +0530,67.6,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:44 IST +0530,68.05,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:44 IST +0530,68.05,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
