,date,open,high,low,close,volume
0,2021-06-08 15:00:00+05:30,115.0,119.25,109.0,110.2,99500
1,2021-06-08 15:01:00+05:30,110.75,114.45,110.15,113.75,69525
2,2021-06-08 15:02:00+05:30,113.9,113.9,107.7,112.25,84650
3,2021-06-08 15:03:00+05:30,112.25,113.75,108.65,112.0,37600
4,2021-06-08 15:04:00+05:30,112.25,113.65,110.15,113.65,52750
5,2021-06-08 15:05:00+05:30,113.65,113.7,103.0,104.9,110800
6,2021-06-08 15:06:00+05:30,105.15,105.95,96.1,98.75,155225
7,2021-06-08 15:07:00+05:30,98.4,102.9,97.25,102.25,108025
8,2021-06-08 15:08:00+05:30,102.15,102.15,98.85,100.15,75050
9,2021-06-08 15:09:00+05:30,100.2,101.5,99.2,101.3,58650
10,2021-06-08 15:10:00+05:30,101.6,104.7,99.1,100.85,106900
11,2021-06-08 15:11:00+05:30,100.4,102.2,99.6,101.2,58975
12,2021-06-08 15:12:00+05:30,100.9,101.95,97.55,97.9,86475
13,2021-06-08 15:13:00+05:30,97.9,99.6,96.8,98.8,61300
14,2021-06-08 15:14:00+05:30,98.65,99.35,98.2,98.7,69950
15,2021-06-08 15:15:00+05:30,99.15,99.9,98.5,99.45,68650
16,2021-06-08 15:16:00+05:30,99.6,100.55,98.9,99.4,89100
17,2021-06-08 15:17:00+05:30,99.1,99.8,98.0,98.0,74325
18,2021-06-08 15:18:00+05:30,98.3,99.5,93.4,93.4,105275
19,2021-06-08 15:19:00+05:30,93.6,95.6,91.7,92.15,74850
20,2021-06-08 15:20:00+05:30,92.65,99.0,92.2,98.3,113150
21,2021-06-08 15:21:00+05:30,98.1,99.0,96.5,98.6,76125
