,date,open,high,low,close,volume
0,2021-06-08 15:00:00+05:30,106.65,112.15,103.55,111.35,37375
1,2021-06-08 15:01:00+05:30,110.85,114.4,110.0,110.2,44575
2,2021-06-08 15:02:00+05:30,110.15,115.8,109.7,112.3,31350
3,2021-06-08 15:03:00+05:30,111.85,113.95,109.25,110.5,27800
4,2021-06-08 15:04:00+05:30,109.75,112.35,105.8,106.2,31225
5,2021-06-08 15:05:00+05:30,106.75,118.95,106.0,117.7,39700
6,2021-06-08 15:06:00+05:30,117.3,132.5,115.7,130.85,68925
7,2021-06-08 15:07:00+05:30,132.65,140.1,126.25,127.8,93650
8,2021-06-08 15:08:00+05:30,127.9,131.95,125.05,127.0,42175
9,2021-06-08 15:09:00+05:30,126.8,130.85,123.9,124.55,35500
10,2021-06-08 15:10:00+05:30,124.7,125.65,117.1,124.95,56725
11,2021-06-08 15:11:00+05:30,125.55,128.65,124.4,125.5,35425
12,2021-06-08 15:12:00+05:30,125.55,127.6,121.05,127.6,33450
13,2021-06-08 15:13:00+05:30,127.9,131.1,127.5,127.85,45950
14,2021-06-08 15:14:00+05:30,128.25,128.75,125.2,125.2,33725
15,2021-06-08 15:15:00+05:30,125.35,128.95,122.6,125.9,46950
16,2021-06-08 15:16:00+05:30,125.85,128.0,123.7,127.2,34400
17,2021-06-08 15:17:00+05:30,127.0,131.4,126.5,128.85,44125
18,2021-06-08 15:18:00+05:30,127.95,131.25,126.2,131.0,32600
19,2021-06-08 15:19:00+05:30,131.1,134.15,130.45,132.95,37475
20,2021-06-08 15:20:00+05:30,131.6,133.0,117.3,122.0,74375
21,2021-06-08 15:21:00+05:30,122.25,125.75,121.45,122.7,38275
