,date,open,high,low,close,volume
0,2021-06-08 15:00:00+05:30,492.05,507.4,485.0,505.0,7725
1,2021-06-08 15:01:00+05:30,505.9,511.3,501.8,502.55,6500
2,2021-06-08 15:02:00+05:30,502.55,515.65,501.15,505.0,6800
3,2021-06-08 15:03:00+05:30,505.0,510.4,499.85,503.15,2700
4,2021-06-08 15:04:00+05:30,501.4,507.4,493.9,493.9,5800
5,2021-06-08 15:05:00+05:30,494.05,525.0,493.9,522.55,5825
6,2021-06-08 15:06:00+05:30,522.55,551.95,515.5,551.95,11275
7,2021-06-08 15:07:00+05:30,550.85,562.4,540.5,543.25,10100
8,2021-06-08 15:08:00+05:30,540.9,550.1,540.25,540.5,2325
9,2021-06-08 15:09:00+05:30,540.5,547.85,533.7,534.4,3250
10,2021-06-08 15:10:00+05:30,536.75,539.0,520.25,539.0,7400
11,2021-06-08 15:11:00+05:30,539.7,543.75,535.0,537.5,4600
12,2021-06-08 15:12:00+05:30,537.5,542.95,529.4,542.95,3100
13,2021-06-08 15:13:00+05:30,543.0,548.3,541.3,542.15,4450
14,2021-06-08 15:14:00+05:30,542.15,542.95,534.45,534.45,3650
15,2021-06-08 15:15:00+05:30,534.5,541.4,530.0,532.9,2500
16,2021-06-08 15:16:00+05:30,532.9,539.1,532.9,539.1,2500
17,2021-06-08 15:17:00+05:30,539.1,543.85,535.4,542.9,6975
18,2021-06-08 15:18:00+05:30,542.15,550.0,536.2,549.15,6275
19,2021-06-08 15:19:00+05:30,548.75,557.1,547.6,554.8,5375
20,2021-06-08 15:20:00+05:30,552.95,552.95,523.15,529.85,6950
21,2021-06-08 15:21:00+05:30,529.2,535.3,528.85,532.3,1500
