2021:06:01 10:14:15,135.9,142.95,134.4,139.8,4725,"{'open': 220.0, 'high': 224.95, 'low': 130.25, 'close': 192.7}"
2021:06:01 10:15:42,139.0,141.0,126.85,127.3,7375,"{'open': 220.0, 'high': 224.95, 'low': 123.5, 'close': 192.7}"
2021:06:01 10:17:13,126.95,133.45,125.65,129.7,4125,"{'open': 220.0, 'high': 224.95, 'low': 123.5, 'close': 192.7}"
2021:06:01 10:18:40,130.2,133.35,122.05,123.5,6125,"{'open': 220.0, 'high': 224.95, 'low': 118.55, 'close': 192.7}"
2021:06:01 10:20:09,123.55,128.25,121.7,121.7,4925,"{'open': 220.0, 'high': 224.95, 'low': 118.55, 'close': 192.7}"
2021:06:01 10:21:36,122.2,123.55,117.35,120.2,5275,"{'open': 220.0, 'high': 224.95, 'low': 117.0, 'close': 192.7}"
2021:06:01 10:23:04,120.35,121.95,112.85,115.2,4700,"{'open': 220.0, 'high': 224.95, 'low': 112.85, 'close': 192.7}"
2021:06:01 10:24:33,115.2,128.75,115.1,127.5,5150,"{'open': 220.0, 'high': 224.95, 'low': 112.85, 'close': 192.7}"
2021:06:01 10:26:04,128.45,130.85,125.0,129.1,3775,"{'open': 220.0, 'high': 224.95, 'low': 112.85, 'close': 192.7}"
2021:06:01 10:27:35,128.45,140.95,127.7,140.1,5000,"{'open': 220.0, 'high': 224.95, 'low': 112.85, 'close': 192.7}"
2021:06:01 10:29:06,139.75,144.45,138.25,140.55,5800,"{'open': 220.0, 'high': 224.95, 'low': 112.85, 'close': 192.7}"
2021:06:01 10:30:37,140.7,143.3,134.25,137.2,4950,"{'open': 220.0, 'high': 224.95, 'low': 112.85, 'close': 192.7}"
2021:06:01 10:32:06,137.2,137.25,123.5,129.05,4800,"{'open': 220.0, 'high': 224.95, 'low': 112.85, 'close': 192.7}"
2021:06:01 10:33:34,128.9,131.55,126.3,129.7,4975,"{'open': 220.0, 'high': 224.95, 'low': 112.85, 'close': 192.7}"
2021:06:01 10:35:06,129.85,131.45,126.0,127.9,4325,"{'open': 220.0, 'high': 224.95, 'low': 112.85, 'close': 192.7}"
2021:06:01 10:36:33,127.6,137.8,125.8,134.75,4425,"{'open': 220.0, 'high': 224.95, 'low': 112.85, 'close': 192.7}"
2021:06:01 10:38:00,135.0,135.3,128.25,128.8,4900,"{'open': 220.0, 'high': 224.95, 'low': 112.85, 'close': 192.7}"
2021:06:01 10:39:27,129.55,132.6,127.15,129.9,3925,"{'open': 220.0, 'high': 224.95, 'low': 112.85, 'close': 192.7}"
2021:06:01 10:40:54,129.9,130.25,121.95,123.3,4100,"{'open': 220.0, 'high': 224.95, 'low': 112.85, 'close': 192.7}"
2021:06:01 10:42:26,123.3,124.65,118.55,123.6,4450,"{'open': 220.0, 'high': 224.95, 'low': 112.85, 'close': 192.7}"
