
 Touchdown,121345
 Touchdown,1378561
 Touchdown,5533185
 Touchdown,20225
 Touchdown,78081
 Touchdown,94209
 Touchdown,98049
 Touchdown,2911489
 Touchdown,149249
 Touchdown,3905025
 Touchdown,3849985
 Touchdown,1459457
 Touchdown,197633
 Touchdown,5552641
 Touchdown,225537
 Touchdown,1253889
 Touchdown,3520001
 Touchdown,4704769
 Touchdown,1401601
 Touchdown,2713345
 Touchdown,2513665
 Touchdown,179457
 Touchdown,348929
 Touchdown,874753
 Touchdown,655873
 Touchdown,5573121
 Touchdown,4774913
 Touchdown,3068673
 Touchdown,2883073
 Touchdown,3920129
 Touchdown,306177
 Touchdown,2983425
 Touchdown,98561
 Touchdown,534529
 Touchdown,130305
 Touchdown,7982337
 Touchdown,1629185
 Touchdown,8042241
 Touchdown,593665
 Touchdown,3924993
 Touchdown,2977281
 Touchdown,633601
 Touchdown,2905857
 Touchdown,6191105
 Touchdown,3834113
 Touchdown,523009
 Touchdown,962817
 Touchdown,369153
 Touchdown,5582849
 Touchdown,4911105
 Touchdown,794369
 Touchdown,3005185
 Touchdown,851713
 Touchdown,873217
 Touchdown,877057
 Touchdown,895745
 Touchdown,4360193
 Touchdown,3529217
 Touchdown,2479361
 Touchdown,269569
 Touchdown,784129
 Touchdown,4445185
 Touchdown,7496705
 Touchdown,530689
