timestamp,open,high,low,close,volume
2021:05:31 12:17:03,647.35,656.55,641.0,656.55,8550
2021:05:31 12:18:42,656.55,656.55,639.85,645.0,8325
2021:05:31 12:20:21,645.0,645.0,615.0,625.0,5450
2021:05:31 12:21:55,623.5,625.05,615.05,623.15,9350
2021:05:31 12:23:30,623.15,630.0,623.15,625.95,3600
2021:05:31 12:25:10,625.95,625.95,612.35,615.55,4175
2021:05:31 12:26:50,615.55,634.65,615.55,625.0,5750
2021:05:31 12:28:29,625.0,628.4,625.0,628.0,3950
2021:05:31 12:30:07,628.0,686.5,628.0,686.5,5425
2021:05:31 12:31:43,686.5,692.0,671.4,690.0,3925
2021:05:31 12:33:16,690.0,705.0,677.75,699.75,7150
2021:05:31 12:34:46,699.75,710.0,693.6,704.3,7000
2021:05:31 12:36:25,704.3,727.0,701.45,724.0,6600
2021:05:31 12:38:02,723.95,725.6,681.0,695.7,7425
2021:05:31 12:39:46,695.7,700.0,690.0,697.35,7400
2021:05:31 12:41:22,697.35,697.35,676.5,686.7,5325
2021:05:31 12:43:00,686.7,689.2,662.3,675.4,4950
2021:05:31 12:44:39,675.4,695.85,674.7,690.0,6075
2021:05:31 12:46:19,690.0,697.15,688.8,692.0,5525
2021:05:31 12:48:02,692.0,699.55,689.4,695.0,11450
2021:05:31 12:49:44,695.0,732.7,695.0,732.7,5475
2021:05:31 12:51:25,732.7,737.75,716.15,723.0,11300
2021:05:31 12:53:03,725.0,730.0,714.3,730.0,15675
2021:05:31 12:54:44,720.2,724.55,708.0,718.0,6725
2021:05:31 12:56:28,718.0,720.0,708.4,716.3,4300
2021:05:31 12:58:01,716.3,716.3,695.25,703.25,4025
2021:05:31 12:59:38,703.25,722.0,698.95,720.2,6275
2021:05:31 13:01:19,719.7,730.0,703.1,712.35,5125
2021:05:31 13:02:55,712.35,730.0,712.35,730.0,9575
2021:05:31 13:04:37,730.0,740.9,719.4,728.4,7750
2021:05:31 13:06:15,728.4,736.85,705.1,707.95,5175
2021:05:31 13:07:52,707.95,717.8,707.95,715.9,7950
2021:05:31 13:09:35,715.9,717.0,703.55,704.0,5675
2021:05:31 13:11:13,704.0,725.0,704.0,713.75,6925
2021:05:31 13:12:55,713.75,714.0,695.0,714.0,4975
2021:05:31 13:14:37,714.0,714.0,695.0,702.5,5325
2021:05:31 13:16:21,702.5,702.5,663.9,670.4,6375
2021:05:31 13:18:00,663.7,677.85,661.0,673.3,5400
2021:05:31 13:19:38,673.3,695.75,672.2,689.75,6500
2021:05:31 13:21:20,689.75,700.0,687.2,697.6,7150
2021:05:31 13:23:01,697.6,711.4,680.05,685.1,4800
2021:05:31 13:24:36,685.1,686.7,666.25,680.75,6675
