,date,open,high,low,close,volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,trend_stc,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,others_dr,others_dlr,others_cr
0,2021-04-05 00:00:00+05:30,29880.0,29880.0,27810.3,28178.55,6292,-4053.0001449485444,6292,,,,,,505.3040738430171,1000.0,,0.0,,,,,,0.0,0.0,,30692.649999999998,26553.25,,0.3926414456201382,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,28845.15,25845.041666666668,27469.691216216215,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,8.202236906244353,,0.0
1,2021-04-06 00:00:00+05:30,28300.0,28500.0,27401.0,27599.15,3561,-6329.901600817507,2731,,,,-27610793316.484127,,442.8643923611585,979.4382606628092,,0.0,,,,,,0.0,0.0,,29812.516666666663,26643.816666666666,,0.3014906218112591,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,28640.5,25845.041666666668,27469.691216216215,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,-2.0561739337190854,-2.07760750666921,-2.0561739337190854
2,2021-04-07 00:00:00+05:30,27775.0,27896.85,27001.0,27149.4,5154,-9776.353238926546,-2423,,,,-8718198753.39542,,-157.20886429545885,979.4382606628092,,0.0,,,,,,0.0,0.0,,29289.988888888885,26580.28888888889,,0.21002735030118233,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,28440.5,25845.041666666668,27469.691216216215,,,,,29880.0,0.0,1.0,,,,,,,,,,,,,,,,,-1.6295791718223152,-1.64300284591814,-3.6522461233810755
3,2021-04-08 00:00:00+05:30,27288.0,28250.0,27112.15,28019.5,4385,-7167.936268324096,1962,,,,6023988084.378594,,56.5445583550443,1010.827876293457,,0.0,,,,,,0.0,0.0,,29200.425,26599.225000000002,,0.5460076118714438,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,28440.5,25845.041666666668,27469.691216216215,,,,,29822.42,0.0,0.0,,,,,,,,,,,,,,,,,3.204859039242125,3.15457496645557,-0.564436424159509
4,2021-04-09 00:00:00+05:30,28098.0,28323.85,27399.85,27624.1,2439,-8423.071008583836,-477,,,,6848548585.485773,,106.11487439905937,996.5634767757484,,0.0,,,,,,0.0,0.0,,29101.659999999996,26651.1,,0.3970521023766,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,28440.5,25845.041666666668,27469.691216216215,,,,,29765.991599999998,0.0,0.0,,,,,,,,,,,,,,,,,-1.4111600849408545,-1.4212116231107075,-1.9676314075777523
5,2021-04-12 00:00:00+05:30,26602.0,27368.0,25251.95,25556.45,7743,-13937.632644651036,-8220,,,,-42410501017.04759,,-613.9778525239147,996.5634767757484,,0.0,,,,,,0.0,0.0,,28947.191666666666,26199.708333333332,,-0.23412638232564273,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,27565.975,25845.041666666668,27469.691216216215,,,,,29710.691767999997,0.0,0.0,,,,,,,,,,,,,,,,,-7.484949735918988,-7.779884914719126,-9.305304921651391
6,2021-04-13 00:00:00+05:30,25788.0,26375.05,25299.95,26179.9,4482,-11082.759981642928,-3738,,,,-11333285865.684956,,-470.221197507022,1020.8746584772697,,0.0,,,,,,0.0,0.0,,28672.840476190475,26010.68333333333,,0.0635637408260055,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,27565.975,25845.041666666668,27469.691216216215,,,,,29532.342097279998,0.0,0.0,,,,,,,,,,,,,,,,,2.4395015739666626,2.4102209790266116,-7.092806407710817
7,2021-04-15 00:00:00+05:30,26499.0,26499.0,25315.0,25532.5,4198,-13738.420454615902,-7936,,,,1960171510.2429729,,5.526559048235214,995.6295561698435,,0.0,,,,,,0.0,0.0,,28459.50625,25834.11875,,-0.11488542167584853,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,27565.975,25845.041666666668,27469.691216216215,,,,,29361.126413388796,0.0,0.0,,,,,,,,,,,,,,,,,-2.4728895068354073,-2.5039790294639985,-9.390298649149798
8,2021-04-16 00:00:00+05:30,25762.25,27201.0,25653.0,27032.25,7549,-7835.278012755437,-387,,,,10663134189.958935,,339.60776951058926,995.6295561698435,,0.0,,,,,,0.0,0.0,,28428.088888888888,25750.411111111112,,0.4787128979920412,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,27565.975,,,27565.975,25845.041666666668,27469.691216216215,,,,,29196.759356853243,0.0,0.0,,,,,,,,,,,,,,,,,5.873886223440716,5.707844719741928,-4.0679878844014254
9,2021-04-19 00:00:00+05:30,26351.0,27600.0,26100.05,27473.1,8336,-909.7762293626729,7949,,,,7611760421.665065,,579.3656466477465,995.6295561698435,,1392.6099999999994,,,,,,0.0,0.0,27086.096666666668,28441.04666666667,25731.146666666667,10.004763821635928,0.6428109278325141,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,26875.975,,,27565.975,25845.041666666668,27469.691216216215,,,,,29038.966982579113,0.0,0.0,,,,,,,,,,,,27473.1,,,,,1.630829842133008,1.617674645475553,-2.503500002661596
