timestamp,open,high,low,close,volume
2021:05:31 12:02:05,280.0,287.35,277.7,284.7,4975
2021:05:31 12:03:37,284.7,284.9,270.0,275.0,5100
2021:05:31 12:05:10,275.4,279.85,272.95,278.65,4975
2021:05:31 12:06:45,278.8,287.1,278.3,279.45,7250
2021:05:31 12:08:25,279.45,281.75,276.9,278.0,5075
2021:05:31 12:10:05,278.0,279.35,272.85,278.35,4950
2021:05:31 12:11:45,278.35,279.4,269.0,270.1,5275
2021:05:31 12:13:18,269.9,276.2,269.9,274.9,4975
2021:05:31 12:14:57,274.8,276.3,272.9,274.15,4300
2021:05:31 12:16:31,273.6,275.1,266.6,268.5,4575
2021:05:31 12:18:00,268.5,274.9,266.5,273.4,4175
2021:05:31 12:19:35,273.4,285.6,271.5,285.6,3950
2021:05:31 12:21:05,284.9,284.9,279.55,282.35,4800
2021:05:31 12:22:42,282.35,286.0,276.55,276.55,5375
2021:05:31 12:24:19,275.9,283.4,275.6,282.5,6075
2021:05:31 12:25:52,281.9,287.45,276.15,278.45,5075
2021:05:31 12:27:34,278.45,280.4,272.45,278.6,4850
2021:05:31 12:29:13,278.6,279.25,267.85,268.0,6650
2021:05:31 12:30:40,269.6,269.6,240.0,245.8,4550
2021:05:31 12:32:07,245.9,249.75,240.85,244.95,6275
2021:05:31 12:33:34,244.5,248.0,235.6,240.25,4600
2021:05:31 12:35:02,241.1,241.3,235.25,238.25,9650
2021:05:31 12:36:28,237.5,239.45,226.0,227.3,5300
2021:05:31 12:37:58,226.85,243.65,226.85,239.65,4425
2021:05:31 12:39:28,239.35,242.0,235.45,237.2,4750
2021:05:31 12:41:00,236.45,242.05,236.45,241.15,4200
2021:05:31 12:42:30,242.8,244.7,238.65,240.9,5225
2021:05:31 12:43:59,240.8,245.45,240.8,241.9,5000
2021:05:31 12:45:30,241.7,241.7,234.4,235.45,4400
2021:05:31 12:47:04,235.5,238.75,232.15,234.55,5600
2021:05:31 12:48:39,235.0,239.5,222.9,225.25,4200
2021:05:31 12:50:07,226.1,229.55,216.0,221.5,4825
2021:05:31 12:51:36,221.35,228.95,220.6,228.5,4850
2021:05:31 12:53:07,229.0,230.85,224.25,227.0,5700
2021:05:31 12:54:37,226.6,230.1,223.05,224.5,4475
2021:05:31 12:56:05,224.5,231.1,224.5,230.45,4100
2021:05:31 12:57:37,231.05,236.1,229.65,234.2,5350
2021:05:31 12:59:07,235.0,235.1,228.8,229.0,4325
2021:05:31 13:00:36,229.65,231.05,224.55,227.05,4650
2021:05:31 13:02:12,227.05,233.75,225.5,227.4,5175
2021:05:31 13:03:40,227.4,229.45,218.4,224.35,5075
2021:05:31 13:05:11,224.45,227.25,222.0,227.25,6450
2021:05:31 13:06:40,227.25,235.35,225.65,232.2,4000
2021:05:31 13:08:16,231.95,233.4,228.85,229.65,4900
2021:05:31 13:09:45,229.65,234.35,227.4,228.9,6925
2021:05:31 13:11:14,229.1,231.4,222.8,231.4,4625
2021:05:31 13:12:43,231.4,236.45,228.4,228.4,6025
2021:05:31 13:14:10,227.9,235.3,227.7,233.5,6150
2021:05:31 13:15:39,235.0,243.75,232.0,240.2,6700
2021:05:31 13:17:05,242.3,246.45,238.75,241.55,4675
2021:05:31 13:18:35,241.1,244.1,234.6,234.6,4325
2021:05:31 13:20:09,234.55,238.15,231.8,232.9,4425
2021:05:31 13:21:40,233.8,234.55,229.55,229.8,4400
2021:05:31 13:23:09,228.55,242.8,225.75,241.8,4575
2021:05:31 13:24:38,242.25,245.2,235.8,236.2,4350
2021:05:31 13:26:08,235.45,236.75,229.8,235.35,6375
2021:05:31 13:27:38,235.35,246.85,235.0,244.3,4975
2021:05:31 13:29:07,243.5,245.8,236.5,243.75,5950
2021:05:31 13:30:37,244.3,247.0,235.3,238.4,5325
2021:05:31 13:32:04,238.1,253.65,236.85,251.45,5225
2021:05:31 13:33:30,252.15,257.45,249.8,252.2,5325
2021:05:31 13:35:01,252.2,254.65,238.7,242.05,5250
2021:05:31 13:36:33,242.05,246.4,233.0,236.9,5900
2021:05:31 13:38:00,237.25,241.0,233.8,238.1,4375
2021:05:31 13:39:32,238.1,238.95,233.35,233.35,4425
2021:05:31 13:40:59,233.35,242.8,229.95,241.35,4175
2021:05:31 13:42:28,241.35,249.15,240.15,247.8,4875
2021:05:31 13:43:56,248.0,251.2,233.5,234.0,4375
2021:05:31 13:45:25,234.0,244.0,234.0,239.5,4850
2021:05:31 13:46:53,240.1,243.8,234.7,238.45,5325
2021:05:31 13:48:21,238.0,249.5,236.25,247.45,4950
2021:05:31 13:49:48,247.45,254.2,246.05,252.7,6600
2021:05:31 13:51:16,252.25,253.3,239.25,245.0,4850
2021:05:31 13:52:48,245.0,249.65,244.9,249.4,4000
2021:05:31 13:54:15,248.9,256.9,245.6,250.35,5575
2021:05:31 13:55:42,250.45,251.1,238.0,238.25,7175
2021:05:31 13:57:12,238.25,248.95,238.25,244.6,4925
2021:05:31 13:58:43,244.6,247.4,237.05,240.9,5225
2021:05:31 14:00:13,239.9,244.9,224.05,224.05,5975
2021:05:31 14:01:40,220.0,225.1,218.2,221.8,4850
2021:05:31 14:03:07,222.6,223.9,219.4,221.2,5475
2021:05:31 14:04:34,221.2,221.2,206.0,210.35,5250
2021:05:31 14:06:02,210.35,214.8,204.15,214.65,7075
