2021:06:15 13:11:44 IST +0530,1139.95,1139.95,1139.95,1139.95,"{12738562: 4575, 12739074: 0, 9841410: 3075, 12739586: 100, 12740098: 525, 12740610: 2550}"
2021:06:15 13:14:39 IST +0530,1139.95,1139.95,1139.95,1139.95,"{12738562: 4725, 12739074: 0, 9841410: 3475, 12739586: 250, 12740098: 3250, 12740610: 2250}"
2021:06:15 13:17:14 IST +0530,1139.95,1139.95,1139.95,1139.95,"{12738562: 4825, 12739074: 0, 9841410: 3875, 12739586: 375, 12740098: 1125, 12740610: 2300}"
2021:06:15 13:20:14 IST +0530,1139.95,1139.95,1139.95,1139.95,"{12738562: 4975, 12739074: 0, 9841410: 3725, 12739586: 525, 12740098: 1200, 12740610: 2425}"
2021:06:15 13:23:02 IST +0530,1139.95,1139.95,1139.95,1139.95,"{12738562: 5100, 12739074: 0, 9841410: 5725, 12739586: 675, 12740098: 1225, 12740610: 175}"
2021:06:15 13:25:31 IST +0530,1139.95,1139.95,1139.95,1139.95,"{12738562: 5200, 12739074: 0, 9841410: 4475, 12739586: 825, 12740098: 1350, 12740610: 625}"
2021:06:15 13:28:07 IST +0530,1139.95,1139.95,1139.95,1139.95,"{12738562: 75, 12739074: 0, 9841410: 4525, 12739586: 950, 12740098: 5025, 12740610: 3100}"
2021:06:15 13:30:31 IST +0530,1139.95,1139.95,1139.95,1139.95,"{12738562: 175, 12739074: 0, 9841410: 4550, 12739586: 1050, 12740098: 3675, 12740610: 1025}"
2021:06:15 13:32:59 IST +0530,1139.95,1139.95,1139.95,1139.95,"{12738562: 275, 12739074: 0, 9841410: 4725, 12739586: 1150, 12740098: 2875, 12740610: 600}"
2021:06:15 13:35:29 IST +0530,1139.95,1139.95,1139.95,1139.95,"{12738562: 375, 12739074: 0, 9841410: 4800, 12739586: 1675, 12740098: 3325, 12740610: 625}"
2021:06:15 13:37:49 IST +0530,1139.95,1139.95,1012.9,1012.9,"{12738562: 475, 12739074: 0, 9841410: 5225, 12739586: 600, 12740098: 3675, 12740610: 875}"
2021:06:15 13:40:27 IST +0530,1012.9,1040.35,1012.9,1040.35,"{12738562: 575, 12739074: 0, 9841410: 4500, 12739586: 250, 12740098: 3025, 12740610: 475}"
2021:06:15 13:42:56 IST +0530,1040.35,1040.35,1040.35,1040.35,"{12738562: 675, 12739074: 0, 9841410: 3975, 12739586: 5150, 12740098: 5150, 12740610: 375}"
2021:06:15 13:45:26 IST +0530,1040.35,1040.35,1040.35,1040.35,"{12738562: 800, 12739074: 0, 9841410: 4125, 12739586: 5150, 12740098: 1925, 12740610: 2200}"
2021:06:15 13:47:47 IST +0530,1040.35,1040.35,1040.35,1040.35,"{12738562: 925, 12739074: 0, 9841410: 4050, 12739586: 4500, 12740098: 750, 12740610: 2100}"
2021:06:15 13:50:14 IST +0530,1040.35,1040.35,1040.35,1040.35,"{12738562: 1025, 12739074: 0, 9841410: 3950, 12739586: 4950, 12740098: 1700, 12740610: 425}"
2021:06:15 13:52:33 IST +0530,1040.35,1040.35,1040.35,1040.35,"{12738562: 1150, 12739074: 0, 9841410: 6150, 12739586: 1050, 12740098: 4550, 12740610: 500}"
2021:06:15 13:54:50 IST +0530,1040.35,1040.35,1040.35,1040.35,"{12738562: 1275, 12739074: 0, 9841410: 4625, 12739586: 1975, 12740098: 7075, 12740610: 225}"
2021:06:15 13:57:30 IST +0530,1040.35,1040.35,1040.35,1040.35,"{12738562: 1375, 12739074: 0, 9841410: 6600, 12739586: 2200, 12740098: 7400, 12740610: 7450}"
2021:06:15 14:00:04 IST +0530,1040.35,1040.35,1040.35,1040.35,"{12738562: 1525, 12739074: 0, 9841410: 4000, 12739586: 2375, 12740098: 7150, 12740610: 14500}"
2021:06:15 14:03:01 IST +0530,1040.35,1040.35,1040.35,1040.35,"{12738562: 1675, 12739074: 0, 9841410: 4200, 12739586: 2725, 12740098: 5300, 12740610: 1225}"
2021:06:15 14:05:50 IST +0530,1040.35,1123.6,1040.35,1123.6,"{12738562: 1800, 12739074: 0, 9841410: 4625, 12739586: 4625, 12740098: 3675, 12740610: 1050}"
2021:06:15 14:09:29 IST +0530,1123.6,1123.6,1101.2,1101.2,"{12738562: 2075, 12739074: 0, 9841410: 650, 12739586: 4800, 12740098: 425, 12740610: 650}"
2021:06:15 14:11:40 IST +0530,1101.2,1101.2,1101.2,1101.2,"{12738562: 2275, 12739074: 0, 9841410: 125, 12739586: 4900, 12740098: 300, 12740610: 225}"
