,date,open,high,low,close,volume
0,2021-06-04 15:00:00+05:30,338.8,352.0,337.7,351.4,52525
1,2021-06-04 15:01:00+05:30,351.15,352.8,343.8,344.25,30700
2,2021-06-04 15:02:00+05:30,346.1,353.1,342.0,344.45,30225
3,2021-06-04 15:03:00+05:30,345.3,347.2,338.05,341.9,30800
4,2021-06-04 15:04:00+05:30,343.3,344.0,332.3,341.5,33800
5,2021-06-04 15:05:00+05:30,341.5,342.05,333.75,335.95,33875
6,2021-06-04 15:06:00+05:30,336.8,341.0,334.0,335.05,30725
7,2021-06-04 15:07:00+05:30,336.0,336.0,325.25,328.8,72150
8,2021-06-04 15:08:00+05:30,330.0,332.35,327.2,328.0,23850
9,2021-06-04 15:09:00+05:30,328.65,335.3,325.05,334.0,38925
10,2021-06-04 15:10:00+05:30,337.4,347.05,335.9,344.1,89600
11,2021-06-04 15:11:00+05:30,344.5,352.35,343.0,343.95,71175
12,2021-06-04 15:12:00+05:30,344.4,349.45,340.05,345.35,37250
13,2021-06-04 15:13:00+05:30,345.7,347.75,342.0,345.0,44225
14,2021-06-04 15:14:00+05:30,344.8,346.3,340.55,342.9,20300
15,2021-06-04 15:15:00+05:30,344.35,354.0,343.05,352.45,57650
16,2021-06-04 15:16:00+05:30,351.4,353.8,344.4,345.7,57775
17,2021-06-04 15:17:00+05:30,345.0,348.5,340.7,340.7,30050
18,2021-06-04 15:18:00+05:30,342.15,344.15,337.35,338.85,48625
19,2021-06-04 15:19:00+05:30,339.8,342.0,333.0,333.9,44050
20,2021-06-04 15:20:00+05:30,338.2,354.9,336.0,351.25,108925
21,2021-06-04 15:21:00+05:30,349.5,353.0,343.75,352.0,82050
