,date,open,high,low,close,volume
0,2021-06-04 15:00:00+05:30,813.5,842.1,813.5,842.1,250
1,2021-06-04 15:01:00+05:30,842.1,842.1,842.1,842.1,0
2,2021-06-04 15:02:00+05:30,842.1,842.1,834.3,834.3,25
3,2021-06-04 15:03:00+05:30,834.3,834.3,819.3,819.3,75
4,2021-06-04 15:04:00+05:30,819.3,821.25,815.9,815.9,75
5,2021-06-04 15:05:00+05:30,815.9,819.5,807.75,810.0,175
6,2021-06-04 15:06:00+05:30,810.0,821.9,810.0,817.45,250
7,2021-06-04 15:07:00+05:30,817.45,817.45,799.0,799.0,225
8,2021-06-04 15:08:00+05:30,799.0,799.0,799.0,799.0,0
9,2021-06-04 15:09:00+05:30,799.0,799.0,799.0,799.0,0
10,2021-06-04 15:10:00+05:30,799.0,840.0,799.0,835.3,50
11,2021-06-04 15:11:00+05:30,835.3,844.0,835.3,841.8,125
12,2021-06-04 15:12:00+05:30,841.8,841.8,830.75,830.75,25
13,2021-06-04 15:13:00+05:30,830.75,830.75,830.75,830.75,0
14,2021-06-04 15:14:00+05:30,830.75,830.75,830.75,830.75,0
15,2021-06-04 15:15:00+05:30,830.75,830.75,830.75,830.75,0
16,2021-06-04 15:16:00+05:30,830.75,839.8,830.75,839.8,75
17,2021-06-04 15:17:00+05:30,839.8,841.5,839.8,841.5,50
18,2021-06-04 15:18:00+05:30,841.5,841.5,827.0,830.0,75
19,2021-06-04 15:19:00+05:30,830.0,830.0,822.6,822.6,100
20,2021-06-04 15:20:00+05:30,827.8,843.2,827.8,843.2,100
21,2021-06-04 15:21:00+05:30,843.2,857.6,843.2,857.6,25
