Timestamp,Open,High,Low,Close,Volume
2021:06:15 13:26:30 IST +0530,1040.1,1046.2,1039.7,1039.7,5250
2021:06:15 13:29:03 IST +0530,1039.7,1039.7,1034.7,1035.0,5250
2021:06:15 13:31:23 IST +0530,1035.0,1035.0,1018.0,1020.5,5250
2021:06:15 13:33:47 IST +0530,1020.5,1020.5,1009.2,1010.95,5250
2021:06:15 13:36:15 IST +0530,1010.95,1016.65,911.2,911.2,5425
2021:06:15 13:38:30 IST +0530,926.2,960.0,924.1,956.8,5550
2021:06:15 13:41:32 IST +0530,961.65,992.4,944.3,979.15,5250
2021:06:15 13:44:00 IST +0530,979.15,981.6,971.45,976.4,5250
2021:06:15 13:46:36 IST +0530,976.4,976.4,976.4,976.4,5250
2021:06:15 13:49:09 IST +0530,976.1,976.25,975.0,975.0,5250
2021:06:15 13:51:40 IST +0530,975.0,985.0,975.0,985.0,7375
2021:06:15 13:53:52 IST +0530,985.0,990.0,984.6,990.0,6575
2021:06:15 13:56:10 IST +0530,990.0,1000.5,990.0,998.35,7475
2021:06:15 13:58:54 IST +0530,998.35,998.35,984.6,991.65,5800
2021:06:15 14:01:33 IST +0530,991.65,995.0,987.4,994.85,5350
2021:06:15 14:04:15 IST +0530,994.85,1049.05,994.85,1039.55,5475
2021:06:15 14:07:12 IST +0530,1039.55,1040.9,1027.85,1032.6,5300
2021:06:15 14:10:00 IST +0530,1032.6,1033.35,1014.35,1014.35,5250
2021:06:15 14:12:27 IST +0530,1014.35,1014.35,1014.35,1014.35,5250
2021:06:15 14:15:20 IST +0530,1014.35,1027.6,1014.35,1025.0,5250
2021:06:15 14:17:57 IST +0530,1025.0,1025.25,1025.0,1025.25,9725
2021:06:15 14:20:28 IST +0530,1025.25,1026.8,1015.8,1015.8,5450
2021:06:15 14:23:11 IST +0530,1015.8,1026.2,1008.1,1012.1,5250
2021:06:15 14:25:50 IST +0530,1012.1,1037.0,1012.1,1031.85,6625
2021:06:15 14:28:21 IST +0530,1031.85,1032.95,1025.95,1031.0,5825
2021:06:15 14:30:55 IST +0530,1031.0,1031.0,1000.5,1005.7,5550
2021:06:15 14:33:33 IST +0530,1005.7,1030.0,1004.2,1030.0,5400
2021:06:15 14:36:30 IST +0530,1030.0,1030.0,1014.85,1014.85,8500
2021:06:15 14:39:12 IST +0530,1014.85,1015.05,1009.55,1009.55,5250
2021:06:15 14:41:42 IST +0530,1009.55,1009.55,992.85,992.9,7050
2021:06:15 14:44:05 IST +0530,992.9,1003.45,992.9,999.7,6275
2021:06:15 14:46:32 IST +0530,999.7,1002.15,972.0,1001.85,8400
2021:06:15 14:49:06 IST +0530,1001.85,1026.6,1001.85,1016.1,6500
