2021:06:14 09:49:52 IST +0530,401.0,408.65,399.6,406.15,7000
2021:06:14 09:52:04 IST +0530,406.2,411.0,398.15,401.15,8100
2021:06:14 09:54:41 IST +0530,401.0,409.05,401.0,407.3,7150
2021:06:14 09:57:14 IST +0530,405.75,419.7,405.65,416.0,8475
2021:06:14 09:59:27 IST +0530,417.75,440.65,416.25,438.65,8325
2021:06:14 10:01:48 IST +0530,437.8,444.4,431.5,441.8,7400
2021:06:14 10:04:01 IST +0530,441.8,441.8,413.55,416.0,5575
2021:06:14 10:06:16 IST +0530,415.95,444.05,415.95,435.0,6150
2021:06:14 10:08:58 IST +0530,435.05,437.35,425.75,431.0,6450
2021:06:14 10:11:34 IST +0530,431.0,434.5,425.4,432.85,5900
2021:06:14 10:14:08 IST +0530,433.75,446.3,426.85,440.45,7150
2021:06:14 10:16:29 IST +0530,439.9,442.55,426.35,430.95,5900
2021:06:14 10:18:50 IST +0530,430.95,433.05,427.0,430.15,8000
2021:06:14 10:21:12 IST +0530,429.35,437.45,422.8,437.45,11300
2021:06:14 10:23:40 IST +0530,437.45,441.0,433.5,434.75,8625
2021:06:14 10:26:10 IST +0530,434.75,441.3,430.8,430.8,5975
2021:06:14 10:28:37 IST +0530,428.4,439.4,426.5,432.6,6750
2021:06:14 10:31:11 IST +0530,432.6,434.5,416.75,418.0,11250
2021:06:14 10:33:31 IST +0530,418.0,433.1,417.15,431.85,5600
2021:06:14 10:36:01 IST +0530,431.65,434.55,424.25,428.8,6025
2021:06:14 10:38:41 IST +0530,428.8,432.35,425.5,431.35,7825
2021:06:14 10:40:56 IST +0530,431.35,435.0,423.7,426.85,5625
2021:06:14 10:43:45 IST +0530,425.6,432.5,425.6,430.4,6600
2021:06:14 10:46:12 IST +0530,430.4,430.45,414.4,416.85,8450
2021:06:14 10:48:36 IST +0530,416.85,429.4,414.3,428.45,6325
2021:06:14 10:51:09 IST +0530,428.45,432.8,421.25,422.5,9975
2021:06:14 10:53:45 IST +0530,422.5,430.95,420.85,420.85,5850
2021:06:14 10:56:19 IST +0530,421.55,422.4,409.05,422.4,5950
2021:06:14 10:58:49 IST +0530,424.0,424.0,415.0,415.0,5775
2021:06:14 11:01:08 IST +0530,415.0,419.05,401.75,405.75,7150
2021:06:14 11:03:42 IST +0530,408.45,412.85,404.4,407.75,9325
2021:06:14 11:06:22 IST +0530,407.75,410.3,402.4,405.0,8425
2021:06:14 11:08:42 IST +0530,405.0,405.75,391.55,394.0,9700
2021:06:14 11:11:16 IST +0530,394.4,402.15,389.75,391.4,8175
2021:06:14 11:13:37 IST +0530,391.4,405.1,391.4,404.35,6925
2021:06:14 11:16:16 IST +0530,404.35,410.0,403.05,409.45,7200
2021:06:14 11:18:48 IST +0530,409.45,409.55,400.05,405.0,5600
2021:06:14 11:21:09 IST +0530,405.0,406.45,397.0,401.65,6375
2021:06:14 11:23:39 IST +0530,401.65,402.85,397.65,398.65,12575
2021:06:14 11:26:09 IST +0530,398.65,400.95,393.0,400.0,6825
