2021:06:15 09:21:44 IST +0530,661.0,680.9,661.0,675.2,6050
2021:06:15 09:24:01 IST +0530,675.2,680.0,671.8,678.9,8025
2021:06:15 09:26:36 IST +0530,678.9,709.45,674.35,704.1,5500
2021:06:15 09:28:58 IST +0530,704.1,736.4,704.1,728.0,7025
2021:06:15 09:31:34 IST +0530,728.0,755.7,728.0,739.0,5425
2021:06:15 09:33:42 IST +0530,735.25,755.0,728.75,755.0,5775
2021:06:15 09:36:20 IST +0530,755.0,757.75,716.4,716.4,6550
2021:06:15 09:38:51 IST +0530,716.4,720.0,696.5,713.0,10375
2021:06:15 09:41:16 IST +0530,713.0,715.8,703.4,703.4,6075
2021:06:15 09:43:37 IST +0530,703.4,732.75,703.4,732.75,7900
2021:06:15 09:46:08 IST +0530,732.75,736.75,723.3,733.4,5650
2021:06:15 09:48:49 IST +0530,733.4,733.4,715.0,729.15,5575
2021:06:15 09:51:44 IST +0530,729.15,729.15,720.05,724.65,5250
2021:06:15 09:54:40 IST +0530,724.65,737.05,717.55,730.6,5250
2021:06:15 09:57:20 IST +0530,730.6,742.45,730.6,742.45,5250
2021:06:15 09:59:56 IST +0530,742.45,742.45,726.8,728.45,11125
2021:06:15 10:02:36 IST +0530,728.45,752.05,721.6,721.6,6150
2021:06:15 10:05:00 IST +0530,721.6,722.3,719.0,719.7,6100
2021:06:15 10:07:34 IST +0530,719.7,719.7,711.65,718.6,5550
2021:06:15 10:10:13 IST +0530,718.6,724.2,718.6,724.2,5250
2021:06:15 10:12:48 IST +0530,724.2,725.0,701.0,725.0,5250
2021:06:15 10:15:25 IST +0530,725.0,734.7,725.0,728.45,11100
2021:06:15 10:18:00 IST +0530,728.45,728.45,727.9,727.9,5250
2021:06:15 10:20:45 IST +0530,727.9,730.4,713.35,719.6,5250
2021:06:15 10:23:22 IST +0530,719.6,719.6,713.0,713.25,5250
2021:06:15 10:25:54 IST +0530,713.25,713.25,711.7,713.0,5250
2021:06:15 10:28:31 IST +0530,713.0,718.75,696.4,718.75,5775
2021:06:15 10:31:22 IST +0530,718.85,725.8,689.8,695.15,5250
2021:06:15 10:33:58 IST +0530,693.95,702.3,693.95,698.45,6100
2021:06:15 10:36:33 IST +0530,698.45,701.35,674.3,677.8,5475
2021:06:15 10:39:22 IST +0530,677.8,686.15,677.8,680.0,5250
2021:06:15 10:42:27 IST +0530,680.0,688.9,675.0,682.15,10775
2021:06:15 10:44:51 IST +0530,682.15,685.3,682.15,685.3,23400
2021:06:15 10:47:12 IST +0530,685.3,693.0,683.3,692.15,7300
2021:06:15 10:49:42 IST +0530,692.15,698.45,692.15,698.45,5250
2021:06:15 10:52:14 IST +0530,698.45,698.45,677.95,681.1,23250
2021:06:15 10:54:40 IST +0530,681.1,681.1,676.9,676.9,11500
2021:06:15 10:57:00 IST +0530,676.9,688.9,676.9,687.55,5250
2021:06:15 10:59:46 IST +0530,687.55,699.0,687.55,699.0,5250
2021:06:15 11:02:11 IST +0530,699.0,710.4,699.0,705.4,6000
2021:06:15 11:04:57 IST +0530,705.4,723.0,705.4,723.0,5250
2021:06:15 11:07:40 IST +0530,723.0,723.0,719.0,719.0,5250
2021:06:15 11:11:13 IST +0530,719.0,719.0,704.65,704.65,5250
2021:06:15 11:13:49 IST +0530,704.65,707.6,704.65,707.6,5250
2021:06:15 11:16:31 IST +0530,707.6,707.6,692.2,692.2,7850
2021:06:15 11:19:01 IST +0530,692.2,701.05,692.2,701.05,5250
2021:06:15 11:22:43 IST +0530,701.05,701.05,701.05,701.05,5250
2021:06:15 11:26:09 IST +0530,701.05,705.0,701.05,705.0,5250
2021:06:15 11:28:29 IST +0530,705.0,705.0,698.7,705.0,6800
2021:06:15 11:31:24 IST +0530,705.0,707.25,705.0,707.25,5925
2021:06:15 11:34:02 IST +0530,707.25,710.0,707.25,710.0,5250
2021:06:15 11:37:06 IST +0530,710.0,712.5,708.6,708.6,5850
2021:06:15 11:40:01 IST +0530,708.6,708.6,706.5,706.5,28500
2021:06:15 11:42:36 IST +0530,706.5,706.5,704.0,704.0,5250
2021:06:15 11:45:15 IST +0530,704.0,704.0,700.75,700.75,5250
2021:06:15 11:47:33 IST +0530,700.75,700.75,698.9,698.9,5250
2021:06:15 11:50:07 IST +0530,698.9,703.2,698.9,703.2,5250
2021:06:15 11:52:48 IST +0530,703.2,703.2,701.7,701.7,5250
2021:06:15 11:56:12 IST +0530,701.7,707.15,701.7,707.15,5250
2021:06:15 11:58:46 IST +0530,707.15,707.15,707.15,707.15,5250
2021:06:15 12:01:25 IST +0530,707.15,707.15,707.15,707.15,5250
2021:06:15 12:04:10 IST +0530,707.15,707.15,707.15,707.15,5250
2021:06:15 12:08:30 IST +0530,707.15,707.15,701.0,704.2,5250
2021:06:15 12:11:02 IST +0530,704.2,704.2,702.3,702.3,5250
2021:06:15 12:13:31 IST +0530,702.3,702.3,695.8,700.05,5250
2021:06:15 12:19:03 IST +0530,700.05,706.85,664.0,688.45,5450
2021:06:15 12:21:40 IST +0530,688.45,760.0,688.45,742.95,8875
2021:06:15 12:24:22 IST +0530,742.95,769.0,742.95,769.0,7000
2021:06:15 12:26:57 IST +0530,786.05,792.8,770.0,770.0,5850
2021:06:15 12:29:52 IST +0530,770.0,772.0,767.3,770.0,8950
2021:06:15 12:32:43 IST +0530,770.0,775.45,767.25,775.0,5250
2021:06:15 12:35:22 IST +0530,775.0,781.8,773.3,773.3,5250
2021:06:15 12:37:45 IST +0530,773.3,775.2,773.3,774.0,17150
2021:06:15 12:40:48 IST +0530,774.0,779.1,769.0,769.0,9250
2021:06:15 12:43:16 IST +0530,769.0,786.35,769.0,783.45,6475
2021:06:15 12:45:48 IST +0530,780.75,780.75,774.7,778.8,5250
2021:06:15 12:48:54 IST +0530,778.8,778.8,762.9,767.15,8250
2021:06:15 12:51:34 IST +0530,767.15,770.25,765.65,770.25,8050
2021:06:15 12:54:03 IST +0530,770.25,770.25,761.3,761.3,14950
2021:06:15 12:57:24 IST +0530,761.3,762.6,760.15,762.6,5250
2021:06:15 12:59:49 IST +0530,762.6,762.6,752.7,754.8,5375
2021:06:15 13:02:28 IST +0530,754.8,767.7,754.8,767.7,5250
2021:06:15 13:05:58 IST +0530,767.7,767.7,755.25,759.15,5250
2021:06:15 13:08:40 IST +0530,759.15,759.15,759.15,759.15,5250
2021:06:15 13:11:20 IST +0530,759.15,759.15,736.1,745.0,18700
2021:06:15 13:14:33 IST +0530,745.0,745.0,741.0,744.45,10075
2021:06:15 13:18:14 IST +0530,744.45,744.45,737.15,741.1,5250
2021:06:15 13:21:47 IST +0530,741.1,741.1,706.55,706.55,5275
2021:06:15 13:25:22 IST +0530,706.55,752.0,706.55,746.9,5875
2021:06:15 13:28:58 IST +0530,746.9,746.9,746.9,746.9,5250
2021:06:15 13:31:23 IST +0530,746.9,746.9,746.9,746.9,5250
2021:06:15 13:33:48 IST +0530,746.9,746.9,720.0,721.45,5250
2021:06:15 13:36:13 IST +0530,721.45,721.45,679.35,679.35,5600
2021:06:15 13:38:36 IST +0530,667.45,685.0,650.0,685.0,10700
2021:06:15 13:41:31 IST +0530,685.0,708.25,676.0,700.45,11425
2021:06:15 13:44:01 IST +0530,700.45,700.45,690.0,690.0,5250
2021:06:15 13:46:46 IST +0530,690.0,691.55,685.1,685.1,8400
2021:06:15 13:49:19 IST +0530,685.1,702.35,685.1,702.35,7400
2021:06:15 13:51:43 IST +0530,702.35,702.35,699.0,700.0,5250
2021:06:15 13:54:00 IST +0530,700.0,705.0,700.0,704.55,5250
2021:06:15 13:56:33 IST +0530,704.55,716.2,701.3,711.45,5250
2021:06:15 13:59:05 IST +0530,711.45,711.45,708.05,708.05,5250
2021:06:15 14:01:52 IST +0530,708.05,710.0,708.05,710.0,5250
2021:06:15 14:04:38 IST +0530,710.0,750.0,710.0,742.05,7275
2021:06:15 14:07:31 IST +0530,742.05,746.3,736.3,736.3,7000
2021:06:15 14:09:58 IST +0530,736.3,736.3,736.3,736.3,10500
2021:06:15 14:12:19 IST +0530,736.3,736.3,729.5,731.4,11675
2021:06:15 14:15:07 IST +0530,731.4,737.75,731.4,736.45,5250
2021:06:15 14:17:42 IST +0530,736.45,736.45,736.45,736.45,5250
2021:06:15 14:20:04 IST +0530,736.45,736.45,736.45,736.45,5250
2021:06:15 14:22:36 IST +0530,736.45,736.45,731.55,732.9,5250
2021:06:15 14:25:15 IST +0530,732.9,745.0,718.2,745.0,5250
2021:06:15 14:27:47 IST +0530,745.0,745.0,734.05,734.05,5700
2021:06:15 14:30:10 IST +0530,734.05,734.05,721.25,726.7,5500
2021:06:15 14:32:49 IST +0530,726.7,728.4,722.15,722.15,5250
2021:06:15 14:35:51 IST +0530,722.15,727.35,722.15,724.3,5250
2021:06:15 14:38:33 IST +0530,724.3,726.2,721.1,721.1,5250
2021:06:15 14:41:09 IST +0530,721.1,722.4,716.1,719.4,5250
2021:06:15 14:43:39 IST +0530,719.4,719.4,710.0,711.55,7650
2021:06:15 14:46:22 IST +0530,711.55,715.5,695.0,715.5,8550
2021:06:15 14:49:00 IST +0530,715.5,730.75,715.5,730.75,5250
2021:06:15 14:51:22 IST +0530,730.75,730.75,725.2,725.2,5250
2021:06:15 14:53:42 IST +0530,725.2,725.2,725.2,725.2,5250
2021:06:15 14:56:09 IST +0530,725.2,732.6,722.0,732.6,5250
2021:06:15 14:58:56 IST +0530,732.6,743.6,732.6,743.6,5250
2021:06:15 15:01:52 IST +0530,743.6,743.6,732.0,732.0,5875
2021:06:15 15:04:47 IST +0530,736.7,736.7,735.0,735.0,7500
2021:06:15 15:07:16 IST +0530,735.0,735.0,725.55,725.55,6025
2021:06:15 15:09:55 IST +0530,725.55,727.0,722.8,722.8,5250
2021:06:15 15:12:33 IST +0530,722.8,727.75,722.8,725.9,5250
2021:06:15 15:15:13 IST +0530,725.9,725.9,725.9,725.9,5250
2021:06:15 15:17:36 IST +0530,725.9,730.1,725.9,729.1,5250
2021:06:15 15:20:15 IST +0530,729.1,729.1,728.65,728.65,5250
2021:06:15 15:22:48 IST +0530,728.65,728.65,718.45,718.45,14250
