,date,open,high,low,close,volume
0,2021-06-08 15:00:00+05:30,35460.0,35469.0,35460.0,35460.0,200
1,2021-06-08 15:01:00+05:30,35460.0,35460.0,35440.0,35448.7,100
2,2021-06-08 15:02:00+05:30,35448.7,35448.7,35447.55,35447.55,100
3,2021-06-08 15:03:00+05:30,35447.55,35452.0,35447.55,35452.0,50
4,2021-06-08 15:04:00+05:30,35452.0,35455.0,35442.8,35455.0,75
5,2021-06-08 15:05:00+05:30,35455.0,35464.95,35426.6,35426.6,75
6,2021-06-08 15:06:00+05:30,35426.6,35426.6,35400.85,35400.85,225
7,2021-06-08 15:07:00+05:30,35400.85,35400.85,35381.4,35400.0,425
8,2021-06-08 15:08:00+05:30,35400.0,35409.95,35397.55,35409.95,150
9,2021-06-08 15:09:00+05:30,35409.95,35409.95,35400.35,35400.35,50
10,2021-06-08 15:10:00+05:30,35400.35,35409.2,35400.35,35409.2,25
11,2021-06-08 15:11:00+05:30,35409.2,35409.2,35402.0,35402.0,150
12,2021-06-08 15:12:00+05:30,35402.0,35416.5,35401.05,35401.05,100
13,2021-06-08 15:13:00+05:30,35401.0,35401.0,35397.55,35397.55,50
14,2021-06-08 15:14:00+05:30,35397.55,35397.55,35397.55,35397.55,0
15,2021-06-08 15:15:00+05:30,35397.55,35413.9,35397.55,35413.9,100
16,2021-06-08 15:16:00+05:30,35413.9,35413.9,35410.0,35411.75,75
17,2021-06-08 15:17:00+05:30,35411.75,35411.75,35407.45,35407.45,25
18,2021-06-08 15:18:00+05:30,35407.45,35407.45,35397.0,35397.0,100
19,2021-06-08 15:19:00+05:30,35397.0,35397.0,35388.8,35388.8,25
20,2021-06-08 15:20:00+05:30,35388.8,35411.55,35388.8,35411.55,175
21,2021-06-08 15:21:00+05:30,35411.55,35411.55,35405.85,35405.85,25
