,date,open,high,low,close,volume
0,2021-06-01 15:00:00+05:30,84.35,86.2,81.4,81.8,13625
1,2021-06-01 15:01:00+05:30,82.0,82.0,76.15,80.6,35175
2,2021-06-01 15:02:00+05:30,80.6,81.75,77.8,81.65,16650
3,2021-06-01 15:03:00+05:30,81.75,81.75,77.7,79.4,20375
4,2021-06-01 15:04:00+05:30,80.05,81.65,77.2,80.55,19525
5,2021-06-01 15:05:00+05:30,80.05,87.25,79.45,86.7,24250
6,2021-06-01 15:06:00+05:30,86.6,92.95,83.95,92.95,48450
7,2021-06-01 15:07:00+05:30,92.85,95.2,88.6,93.9,40825
8,2021-06-01 15:08:00+05:30,93.35,101.75,93.35,100.45,62600
9,2021-06-01 15:09:00+05:30,99.2,100.75,89.45,92.0,45775
10,2021-06-01 15:10:00+05:30,91.45,91.7,78.55,80.7,63575
11,2021-06-01 15:11:00+05:30,81.25,82.35,77.65,80.85,43450
12,2021-06-01 15:12:00+05:30,79.85,84.35,78.5,83.35,29875
13,2021-06-01 15:13:00+05:30,82.05,83.95,81.65,82.95,26950
14,2021-06-01 15:14:00+05:30,82.55,82.6,78.0,81.3,33750
15,2021-06-01 15:15:00+05:30,81.4,82.5,80.1,80.7,19350
16,2021-06-01 15:16:00+05:30,80.9,83.5,80.7,83.4,17525
17,2021-06-01 15:17:00+05:30,83.4,83.5,81.0,81.85,15675
18,2021-06-01 15:18:00+05:30,81.75,82.35,78.4,79.4,23900
19,2021-06-01 15:19:00+05:30,78.7,79.5,74.75,78.95,43975
20,2021-06-01 15:20:00+05:30,78.1,82.2,75.95,82.2,41175
21,2021-06-01 15:21:00+05:30,81.45,82.65,79.25,81.65,28575
