,date,open,high,low,close,volume
0,2021-06-08 15:00:00+05:30,278.55,286.75,265.85,268.05,117900
1,2021-06-08 15:01:00+05:30,270.2,275.7,268.2,274.35,52950
2,2021-06-08 15:02:00+05:30,275.65,275.65,263.45,272.2,60525
3,2021-06-08 15:03:00+05:30,273.4,275.75,266.75,273.2,41175
4,2021-06-08 15:04:00+05:30,273.15,276.8,269.65,276.8,34300
5,2021-06-08 15:05:00+05:30,276.0,277.0,255.55,260.2,95800
6,2021-06-08 15:06:00+05:30,260.4,262.8,241.1,244.05,134850
7,2021-06-08 15:07:00+05:30,243.8,252.45,241.3,250.95,122700
8,2021-06-08 15:08:00+05:30,250.0,251.05,244.9,249.5,66450
9,2021-06-08 15:09:00+05:30,248.95,252.2,246.4,251.2,43175
10,2021-06-08 15:10:00+05:30,252.7,258.1,247.0,249.2,92350
11,2021-06-08 15:11:00+05:30,249.1,252.8,246.85,250.95,54450
12,2021-06-08 15:12:00+05:30,251.15,253.5,245.0,246.1,41150
13,2021-06-08 15:13:00+05:30,245.8,248.85,243.35,248.8,64175
14,2021-06-08 15:14:00+05:30,247.85,250.0,247.3,249.5,43800
15,2021-06-08 15:15:00+05:30,250.0,251.95,248.0,251.05,61150
16,2021-06-08 15:16:00+05:30,250.6,252.0,248.8,249.85,51900
17,2021-06-08 15:17:00+05:30,249.7,250.75,246.7,248.0,54000
18,2021-06-08 15:18:00+05:30,248.05,250.0,237.2,237.2,80100
19,2021-06-08 15:19:00+05:30,237.9,241.4,233.05,233.8,73825
20,2021-06-08 15:20:00+05:30,236.4,251.0,234.05,248.95,125525
21,2021-06-08 15:21:00+05:30,248.45,250.0,245.4,249.4,74450
