,date,open,high,low,close,volume
0,2021-06-08 15:00:00+05:30,140.5,146.9,136.65,146.9,133050
1,2021-06-08 15:01:00+05:30,145.6,149.9,144.15,144.25,137750
2,2021-06-08 15:02:00+05:30,144.0,151.65,144.0,147.6,115500
3,2021-06-08 15:03:00+05:30,147.0,149.7,143.2,145.2,98200
4,2021-06-08 15:04:00+05:30,144.55,147.45,139.75,139.95,93950
5,2021-06-08 15:05:00+05:30,140.25,155.45,139.4,153.35,177800
6,2021-06-08 15:06:00+05:30,153.55,171.15,151.35,169.65,271300
7,2021-06-08 15:07:00+05:30,171.5,180.0,163.45,165.5,326050
8,2021-06-08 15:08:00+05:30,165.55,170.6,162.05,165.0,130675
9,2021-06-08 15:09:00+05:30,164.9,169.35,160.9,161.7,95650
10,2021-06-08 15:10:00+05:30,162.4,162.7,152.45,162.5,185450
11,2021-06-08 15:11:00+05:30,163.75,166.7,161.35,163.55,139675
12,2021-06-08 15:12:00+05:30,163.0,165.9,158.1,165.35,116725
13,2021-06-08 15:13:00+05:30,165.6,169.85,165.35,165.9,121950
14,2021-06-08 15:14:00+05:30,166.45,166.95,162.5,162.5,64925
15,2021-06-08 15:15:00+05:30,163.15,167.0,159.05,162.9,117825
16,2021-06-08 15:16:00+05:30,162.9,165.0,160.05,164.05,85050
17,2021-06-08 15:17:00+05:30,163.95,169.0,163.75,166.2,105800
18,2021-06-08 15:18:00+05:30,165.3,169.5,163.1,168.9,151725
19,2021-06-08 15:19:00+05:30,169.25,172.2,168.05,171.3,158000
20,2021-06-08 15:20:00+05:30,170.05,171.3,152.55,158.25,249575
21,2021-06-08 15:21:00+05:30,157.75,162.5,157.35,159.05,128950
