bse_symbol,nse_symbol
TCIFINANCE,TCIFINANCE
IITL,IITL
TATAINVEST,TATAINVEST
MOTOGENFIN,MOTOGENFIN
BBTC,BBTC
GREAVESCOT,GREAVESCOT
SAGCEM,SAGCEM
DECCANCE,DECCANCE
MANGLMCEM,MANGLMCEM
NCLIND,NCLIND
SHREDIGCEM,SHREDIGCEM
BORORENEW,BORORENEW
ANDHRAPAP,ANDHRAPAP
BALKRISIND,BALKRISIND
ORIENTPPR,ORIENTPPR
ROLLT,ROLLT
SESHAPAPER,SESHAPAPER
SINTEX,SINTEX
DCM,DCM
KESORAMIND,KESORAMIND
VTL,VTL
PENINLAND,PENINLAND
PHOENIXLTD,PHOENIXLTD
MARATHON,MARATHON
RUBYMILLS,RUBYMILLS
SWANENERGY,SWANENERGY
BANSWRAS,BANSWRAS
SRF,SRF
SIYSIL,SIYSIL
BBL,BBL
EMCO,EMCO
HIRECT,HIRECT
NIPPOBATRY,NIPPOBATRY
ZENSARTECH,ZENSARTECH
NELCO,NELCO
UNIVCABLES,UNIVCABLES
WSIND,WSI
DELTAMAGNT,DELTAMAGNT
SARDAEN,SARDAEN
INDIANHUME,INDIANHUME
ORIENTABRA,ORIENTABRA
TINPLATE,TINPLATE
CHOLAHLDNG,CHOLAHLDNG
AUTOAXLES,AUTOAXLES
SETCO,SETCO
TALBROAUTO,TALBROAUTO
SMLISUZU,SMLISUZU
TIL,TIL
EICHERMOT,EICHERMOT
DYNAMATECH,DYNAMATECH
GMM,GMMPFAUDLR
MANUGRAPH,MANUGRAPH
NESCO,NESCO
REVATHI,REVATHI
TEXINFRA,TEXINFRA
WENDT,WENDT
RESPONIND,RESPONIND
DOLAT,DOLAT
WESTLIFE,WESTLIFE
ZEEL,ZEEL
BHARATGEAR,BHARATGEAR
ELECON,ELECON
GABRIEL,GABRIEL
HERCULES,HERCULES
IFBIND,IFBIND
FMGOETZE,FMGOETZE
SCHAEFFLER,SCHAEFFLER
RANEHOLDIN,RANEHOLDIN
TRF,TRF
KENNAMET,KENNAMET
PRAKASH,PRAKASH
ARSHIYA,ARSHIYA
