bse_symbol,nse_symbol
REPRO,REPRO
PVR,PVR
RMCL,RMCL
PUNJLLOYD,PUNJLLOYD
BARTRONICS,BARTRONICS
CELEBRITY,CELEBRITY
EDUCOMP,EDUCOMP
NITINSPIN,NITINSPIN
ROHLTD,ROHLTD
ENIL,ENIL
GSPL,GSPL
JAGRAN*,JAGRAN
INOXLEISUR,INOXLEISUR
DYNPRO,DYNPRO
SADBHAV,SADBHAV
RCOM,RCOM
SAKUMA,SAKUMA
KEC,KEC
GILLANDERS,GILLANDERS
INDOTECH,INDOTECH
BLKASHYAP,BLKASHYAP
M&MFIN,M&MFIN
VISASTEEL,VISASTEEL
NITCO,NITCO
SOLARINDS,SOLARINDS
GALLANTT,GALLANTT
MALUPAPER,MALUPAPER
UTTAMSUGAR,UTTAMSUGAR
SGL,SGL
KKCL,KKCL
SUNTV,SUNTV
GPIL,GPIL
RSYSTEMINT,RSYSTEMS
EMKAY,EMKAY
TANTIACONS,TANTIACONS
LOKESHMACH,LOKESHMACH
KAMDHENU,KAMDHENU
GTNTEX,GTNTEX
PFOCUS,PFOCUS
ALLCARGO,ALLCARGO
EASUNREYRL,EASUNREYRL
GMRINFRA,GMRINFRA
TECHM,TECHM
MAHINDCIE,MAHINDCIE
VOLTAMP,VOLTAMP
ATLANTA,ATLANTA
DEEPENR,DEEPENR
HOVS,HOVS
ACE,ACE
GEECEE,GEECEE
GAYAPROJ,GAYAPROJ
FIEMIND,FIEMIND
JHS,JHS
DCBBANK,DCBBANK
GLOBALVECT,GLOBALVECT
INSPIRISYS,INSPIRISYS
GTLINFRA,GTLINFRA
SHIVAMAUTO,SHIVAMAUTO
NAUKRI,NAUKRI
TORNTPOWER,TORNTPOWER
PARSVNATH,PARSVNATH
SUTLEJTEX,SUTLEJTEX
DAAWAT,DAAWAT
SOBHA,SOBHA
RUCHIRA,RUCHIRA
TANLA,TANLA
ZEEMEDIA,ZEEMEDIA
SITINET,SITINET
LUMAXTECH,LUMAXTECH
AUTOIND,AUTOIND
NETWORK18,NETWORK18
HUBTOWN,HUBTOWN
TV18BRDCST,TV18BRDCST
CTE,CTE
TIIL,TIIL
REDINGTON,REDINGTON
CINELINE,CINELINE
PGIL,PGIL
FSL,FSL
PFC,PFC
AHLUCONT,AHLUCONT
TFL,TFL
CANDC,CANDC
INDIANB,INDIANB
SMSPHARMA,SMSPHARMA
ORIENTALTL,ORIENTALTL
MINDTREE,MINDTREE
IDEA,IDEA
RAJTV,RAJTV
PAGEIND,PAGEIND
AMDIND,AMDIND
ASTRAL,ASTRAL
IBREALEST,IBREALEST
CAMLINFINE,CAMLINFINE
ICRA,ICRA
DISHTV,DISHTV
SRHHYPOLTD,SRHHYPOLTD
FORTIS,FORTIS
TGBHOTELS,TGBHOTELS
HILTON,HILTON
DELTACORP,DELTACORP
MIC,MIC
INSECTICID*,INSECTICID
MCDHOLDING,MCDHOLDING
ASAHISONG,ASAHISONG
NITINFIRE,NITINFIRE
TIMETECHNO,TIMETECHNO
HGS,HGS
NELCAST,NELCAST
V2RETAIL,V2RETAIL
DLF,DLF
TARMAT,TARMAT
ANKITMETAL,ANKITMETAL
SPARC,SPARC
HDIL,HDIL
ADSL,ADSL
ALPA,ALPA
OMAXE,OMAXE
REFEX,REFEX
CENTRALBK,CENTRALBK
NTL,NTL
ASIANTILES,ASIANTILES
KPRMILL,KPRMILL
TAKE,TAKE
PURVA,PURVA
MOTILALOFS,MOTILALOFS
INDOWIND,INDOWIND
NAGREEKCAP,NAGREEKCAP
MAGNUM,MAGNUM
POWERGRID,POWERGRID
KSCL,KSCL
PAISALO,PAISALO
CCCL,CCCL
MAANALU,MAANALU
IL&FSENGG,IL&FSENGG
RELIGARE,RELIGARE
BVCL,BVCL
ADANIPORTS,ADANIPORTS
EDELWEISS,EDELWEISS
RGL,RGL
KOLTEPATIL,KOLTEPATIL
KAUSHALYA,KAUSHALYA
JYOTHYLAB,JYOTHYLAB
ECLERX,ECLERX
TRIL,TRIL
BRIGADE,BRIGADE
BGRENERGY,BGRENERGY
MANAKSIA,MANAKSIA
PPAP,PPAP
ARIES,ARIES
KUANTUM,KUANTUM
RPOWER,RPOWER
JKIL,JKIL
CORDSCABLE,CORDSCABLE
KNRCON,KNRCON
ONMOBILE,ONMOBILE
SHRIRAMEPC,SHRIRAMEPC
BANG,BANG
IRB,IRB
GSS,GSS
NAHARCAP,NAHARCAP
VGUARD,VGUARD
RECLTD,RECLTD
GAMMNINFRA,GAMMNINFRA
DHANI,DHANI
TWL,TWL
KIRIINDUS,KIRIINDUS
BIRLAMONEY,BIRLAMONEY
JAIBALAJI,JAIBALAJI
BAJAJ-AUTO,BAJAJ-AUTO
BAJAJFINSV,BAJAJFINSV
GOKUL,GOKUL
RPGLIFE,RPGLIFE
NIRAJ,NIRAJ
RBL,RBL
RANEENGINE,RANEENGINE
BAFNAPHARM,BAFNAPH
ARCHIDPLY,ARCHIDPLY
LEHIL,LOTUSEYE
SOMICONV,SOMICONVEY
LGBFORGE,LGBFORGE
LPDC,LPDC
SICAGEN,SICAGEN
20MICRONS,20MICRONS
WABCOINDIA,WABCOINDIA
ALKALI,ALKALI
ISGEC,ISGEC
IMFA,IMFA
GISOLUTION,GISOLUTION
MOLDTKPAC,MOLDTKPAC
MHRIL,MHRIL
EXCEL,EXCEL
RAJOIL,ROML
ADANIPOWER,ADANIPOWER
NHPC,NHPC
GLOBUSSPR,GLOBUSSPR
OIL,OIL
RNAVAL,RNAVAL
EXPLEOSOL,EXPLEOSOL
RTNPOWER,RTNPOWER
DEN,DEN
ASTEC,ASTEC
COX&KINGS,COX&KINGS
DLINKINDIA,DLINKINDIA
JSWENERGY,JSWENERGY
GODREJPROP,GODREJPROP
DBCORP,DBCORP
MBLINFRA,MBLINFRA
JUBLFOOD,JUBLFOOD
VASCONEQ,VASCONEQ
SYNCOM,SYNCOM
THANGAMAYL,THANGAMAYL
DBREALTY,DBREALTY
EMMBI,EMMBI
HATHWAY,HATHWAY
ARSSINFRA,ARSSINFRA
TEXMOPIPES,TEXMOPIPES
SUNDARAM,SUNDARAM
ROSSELLIND,ROSSELLIND
MANINFRA,MANINFRA
IL&FSTRANS,IL&FSTRANS
PERSISTENT,PERSISTENT
ISFT,ISFT
GOENKA,GOENKA
KCPSUGIND,KCPSUGIND
KECL,KECL
TARAPUR,TARAPUR
SJVN,SJVN
JPINFRATEC,JPINFRATEC
EMAMIPAP,EMAMIPAP
HMVL,HMVL
EMAMIREAL,EMAMIREAL
AHLWEST,AHLWEST
AHLEAST,AHLEAST
BAJAJCON,BAJAJCON
PRAKASHSTL,PRAKASHSTL
GPPL,GPPL
WELINV,WELINV
INDOSOLAR,INDOSOLAR
SASTASUNDR,SASTASUNDR
CAREERP,CAREERP
EROSMEDIA,EROSMEDIA
RAMKY,RAMKY
GREENPOWER,GREENPOWER
GALLISPAT,GALLISPAT
CANTABIL,CANTABIL
WABAG,WABAG
BEDMUTHA,BEDMUTHA
ASHOKA,ASHOKA
CEBBCO,CEBBCO
OBEROIRLTY,OBEROIRLTY
PRESTIGE,PRESTIGE
GAL,GAL
COALINDIA,COALINDIA
GRAVITA,GRAVITA
RPPINFRA,RPPINFRA
MOIL,MOIL
ZEELEARN,ZEELEARN
A2ZINFRA,A2ZINFRA
KIRLOSENG,KIRLOSENG
RKDL,RKDL
PSB,PSB
FMNL,FMNL
SURANASOL,SURANASOL
KICL,KICL
BFINVEST,BFINVEST
SUMMITSEC,SUMMITSEC
STEL,STEL
JUBLINDS,JUBLINDS
TEXRAIL,TEXRAIL
INDTERRAIN,INDTERRAIN
FCL,FCL
DHUNINV,DHUNINV
ZENTEC,ZENTEC
LOVABLE,LOVABLE
PFS,PFS
TCIDEVELOP,TCIDEVELOP
MUTHOOTFIN,MUTHOOTFIN
FCONSUMER,FCONSUMER
KARMAENG,KARMAENG
EBIXFOREX,EBIXFOREX
RUSHIL,RUSHIL
KRIINFRA,KRIDHANINF
INVENTURE,INVENTURE
L&TFH,L&TFH
YAARII,YAARII
TREEHOUSE,TREEHOUSE
BROOKS,BROOKS
RUPA,RUPA
TDPOWERSYS,TDPOWERSYS
APLLTD,APLLTD
VASWANI,VASWANI
PGEL,PGEL
SETUINFRA,SETUINFRA
TIJARIA,TIJARIA
ONELIFECAP,ONELIFECAP
FLEXITUFF,FLEXITUFF
UJAAS,UJAAS
TRITURBINE,TRITURBINE
INDOTHAI,INDOTHAI
ESSARSHPNG,ESSARSHPNG
APLAPOLLO,APLAPOLLO
GPTINFRA,GPTINFRA
THOMASCOTT,THOMASCOTT
TERASOFT,TERASOFT
ORIENTREF,ORIENTREF
MCX,MCX
SCHNEIDER,SCHNEIDER
NBCC,NBCC
MTEDUCARE,MTEDUCARE
HEXATRADEX,HEXATRADEX
TBZ,TBZ
VSSL,VSSL
SPECIALITY,SPECIALITY
LYPSAGEMS,LYPSAGEMS
RTNINDIA,RTNINDIA
SEPOWER,SEPOWER
NECCLTD,NECCLTD
DUCON,DUCON
PROZONINTU,PROZONINTU
ZUARI,ZUARI
STEELXIND,STEELXIND
CIGNITI,CIGNITITEC
CARERATING,CARERATING
PCJEWELLER,PCJEWELLER
INDUSTOWER,INDUSTOWER
VMART,VMART
REPCOHOME,REPCOHOME
NIBL,NIBL
SREEL,SREEL
SHARDA,SHARDAMOTR
JUSTDIAL,JUSTDIAL
ORIENTCEM,ORIENTCEM
ABFRL,ABFRL
IBULHSGFIN,IBULHSGFIN
FLFL,FLFL
NATHBIOGEN,NATHBIOGEN
AGRITECH,AGRITECH
BCP,BCP
VFL,VIJIFIN
WONDERLA,WONDERLA
INCREDIBLE,INCREDIBLE
SKIPPER,SKIPPER
GULFOILLUB,GULFOILLUB
VISHAL,VISHAL
SNOWMAN,SNOWMAN
SHARDACROP,SHARDACROP
SHEMAROO,SHEMAROO
PDSMFL,PDSMFL
INTELLECT,INTELLECT
MONTECARLO,MONTECARLO
DHUNTEAIND,DTIL
GENUSPAPER,GENUSPAPER
MINDACORP,MINDACORP
GRNLAMIND,GREENLAM
ORTEL,ORTEL
BKMINDST,BKMINDST
MANAKSTELTD,MANAKSTEEL
MNKALCOLTD,MANAKALUCO
MNKCMILTD,MANAKCOAT
IMAGICAA,IMAGICAA
INOXWIND,INOXWIND
VRLLOG,VRLLOG
MEP,MEP
UFO,UFO
PNCINFRA,PNCINFRA
SATIA,SATIA
JIYAECO,JIYAECO
BALKRISHNA,BALKRISHNA
SCFL,SHYAMCENT
ADANITRANS,ADANITRANS
SYNGENE,SYNGENE
KAYA,KAYA
ORTINLAABS,ORTINLAB
MJCO,MAJESCO
BINDALAGRO,BINDALAGRO
ARVSMART,ARVSMART
POWERMECH,POWERMECH
RAMASTEEL,RAMASTEEL
VETO,VETO
NAVKARCORP,NAVKARCORP
SHREEPUSHK,SHREEPUSHK
GUJGAS,GUJGASLTD
SADBHIN,SADBHIN
SATIN,SATIN
GENCON,GENCON
COFFEEDAY,COFFEEDAY
IDFCFIRSTB,IDFCFIRSTB
BEARDSELL,BEARDSELL
INDIGO,INDIGO
SHK,SHK
ALKEM,ALKEM
LALPATHLAB,LALPATHLAB
LUXIND,LUXIND
NH,NH
JSLHISAR,JSLHISAR
PRECAM,PRECAM
TEAMLEASE,TEAMLEASE
BESTAGRO,BESTAGRO
QUICKHEAL,QUICKHEAL
GOKULAGRO,GOKULAGRO
SIMBHALS,SIMBHALS
PDMJEPAPER,PDMJEPAPER
HCG,HCG
BHARATWIRE,BHARATWIRE
INFIBEAM,INFIBEAM
EQUITAS,EQUITAS
SKIL,SKIL
THYROCARE,THYROCARE
UJJIVAN,UJJIVAN
CROMPTON,CROMPTON
PILANIINVS,PILANIINVS
PARAGMILK,PARAGMILK
NAGARFERT,NAGAFERT
MAXVIL,MAXVIL
MGL,MGL
QUESS,QUESS
LLOYDSTEEL,LSIL
LTI,LTI
ADVENZYMES,ADVENZYMES
DBL,DBL
SPAL,SPAL
BIGBLOC,BIGBLOC
FRETAIL,FRETAIL
RBLBANK,RBLBANK
BLS,BLS
GOVNOW,SABEVENTS
TVVISION,TVVISION
LTTS,LTTS
GNA,GNA
ICICIPRULI,ICICIPRULI
HPL,HPL
VALIANTORG,VALIANTORG
ENDURANCE,ENDURANCE
PNBHOUSING,PNBHOUSING
VBL,VBL
SFL,SFL
TMRVL,TMRVL
TCIEXP,TCIEXP
LAURUSLABS,LAURUSLABS
PRICOLLTD,PRICOLLTD
JITFINFRA,JITFINFRA
RADIOCITY,RADIOCITY
DMART,DMART
CLEDUCATE,CLEDUCATE
SHANKARA,SHANKARA
SCHAND,SCHAND
HUDCO,HUDCO
PSPPROJECT,PSPPROJECT
STARCEMENT,STARCEMENT
TEJASNET,TEJASNET
ERIS,ERIS
GTPL,GTPL
AUBANK,AUBANK
BHAGYAPROP,BHAGYAPROP
SALASAR,SALASAR
GANGESSEC,GANGESSECU
PALASHSEC,PALASHSECU
AVADHSUGAR,AVADHSUGAR
MAGADHSUGAR,MAGADSUGAR
SINTEXPLAST,SPTL
SIS,SIS
COCHINSHIP,COCHINSHIP
SMSLIFE,SMSLIFE
KIOCL,KIOCL
ABCAPITAL,ABCAPITAL
APEX,APEX
DIXON,DIXON
BRNL,BRNL
DCAL,DCAL
LASA,LASA
MATRIMONY,MATRIMONY
RELHOME,RHFL
CAPACITE,CAPACITE
ICICIGI,ICICIGI
SBILIFE,SBILIFE
DIAMONDYD,DIAMONDYD
SHAREINDIA,SHAREINDIA
GODREJAGRO,GODREJAGRO
MASFIN,MASFIN
IEX,IEX
GICRE,GICRE
TIINDIA,TIINDIA
NAM-INDIA,NAM-INDIA
MAHLOG,MAHLOG
NIACL,NIACL
IFGLEXPOR,IFGLEXPOR
KHADIM,KHADIM
5PAISA,5PAISA
HDFCLIFE,HDFCLIFE
DNAMEDIA,DNAMEDIA
SHALBY,SHALBY
FSC,FSC
ASTRON,ASTRON
APOLLO,APOLLO
NEWGEN,NEWGEN
PRAXIS,PRAXIS
AMBER,AMBER
GALAXYSURF,GALAXYSURF
SHIVAMILLS,SHIVAMILLS
ASTERDM,ASTERDM
HGINFRA,HGINFRA
BDL,BDL
BANDHANBNK,BANDHANBNK
HAL,HAL
KARDA,KARDA
SANDHAR,SANDHAR
ISEC,ISEC
MIDHANI,MIDHANI
LEMONTREE,LEMONTREE
CHEMFABALKA,CHEMFAB
ORIENTELEC,ORIENTELEC
INDOSTAR,INDOSTAR
DOLLAR,DOLLAR
ADANIGREEN,ADANIGREEN
SOLARA,SOLARA
GAYAHWS,GAYAHWS
RITES,RITES
FINEORG,FINEORG
VARROC,VARROC
TCNSBRANDS,TCNSBRANDS
HDFCAMC,HDFCAMC
CREDITACC,CREDITACC
IRCON,IRCON
AAVAS,AAVAS
GRSE,GRSE
ATGL,ATGL
TECHNOE,TECHNOE
DALBHARAT,DALBHARAT
NILASPACES,NILASPACES
TREJHARA,TREJHARA
RPSGVENT,RPSGVENT
SPENCER,SPENCERS
XELPMOC,XELPMOC
CHALET,CHALET
ANMOL,ANMOL
ANUP,ANUP
ARVINDFASN,ARVINDFASN
MSTC,MSTCLTD
RVNL,RVNL
METROPOLIS,METROPOLIS
KPITTECH,KPITTECH
POLYCAB,POLYCAB
VIKASLIFE,VIKASLIFE
NEOGEN,NEOGEN
PPL,PPL
DGCONTENT,DGCONTENT
INDIAMART,INDIAMART
DCMNVL,DCMNVL
AFFLE,AFFLE
SPANDANA,SPANDANA
SWSOLAR,SWSOLAR
IIFLWAM,IIFLWAM
IIFLSEC,IIFLSEC
FLUOROCHEM,FLUOROCHEM
IRCTC,IRCTC
VISHWARAJ,VISHWARAJ
GREENPANEL,GREENPANEL
CSBBANK,CSBBANK
UJJIVANSFB,UJJIVANSFB
SHIL,SHIL
PRINCEPIPE,PRINCEPIPE
ARTEMISMED,ARTEMISMED
SUMICHEM,SUMICHEM
BIRLATYRES,BIRLATYRE
UNIVPHOTO,UNIVPHOTO
SUVENPHAR,SUVENPHAR
SBICARD,SBICARD
POWERINDIA,POWERINDIA
AARTISURF,AARTISURF
BOROLTD,BOROLTD
ROSSARI,ROSSARI
NDRAUTO,NDRAUTO
MAXHEALTH,MAXHEALTH
MAXINDIA,MAXIND
HAPPSTMNDS,HAPPSTMNDS
ROUTE,ROUTE
ADL,ADL
CAMS,CAMS
CHEMCON,CHEMCON
ANGELBRKG,ANGELBRKG
MAZDOCK,MAZDOCK
UTIAMC,UTIAMC
LIKHITHA,LIKHITHA
HEMIPROP,HEMIPROP
EQUITASBNK,EQUITASBNK
GLAND,GLAND
BURGERKING,BURGERKING
TARC,TARC
RVHL,RVHL
FAIRCHEMOR,FAIRCHEMOR
BECTORFOOD,BECTORFOOD
AWHCL,AWHCL
IRFC,IRFC
INDIGOPNTS,INDIGOPNTS
HOMEFIRST,HOMEFIRST
STOVEKRAFT,STOVEKRAFT
SMCGLOBAL,SMCGLOBAL
NURECA,NURECA
RAILTEL,RAILTEL
HERANBA,HERANBA
DRCSYSTEMS,DRCSYSTEMS
MTARTECH,MTARTECH
JUBLINGREA,JUBLINGREA
EASEMYTRIP,EASEMYTRIP
ANURAS,ANURAS
CRAFTSMAN,CRAFTSMAN
LXCHEM,LXCHEM
KALYANKJIL,KALYANKJIL
SURYODAY,SURYODAY
NAZARA,NAZARA
SUVIDHAA,SUVIDHAA
BARBEQUE,BARBEQUE
LODHA,LODHA
DEEPIND,DEEPINDS
TATAMTRDVR,TATAMTRDVR
FELDVR,FELDVR
JISLDVREQS,JISLDVREQS
SCAPDVR,SCAPDVR
KARURVYSYA,KARURVYSYA
TIDEWATER,TIDEWATER
AMRUTANJAN,AMRUTANJAN
XPROINDIA,XPROINDIA
HISARMET,HISARMETAL
BHARATRAS,BHARATRAS
EASTSILK,EASTSILK
FACT,FACT
GINNIFILA,GINNIFILA
SPIC,SPIC
DENORA,DENORA
SAKSOFT,SAKSOFT
SALONACOT,SALONA
PROSEED,PROINDIA
ANDHRSUGAR,ANDHRSUGAR
IMPAL,IMPAL
KCP,KCP
RADAAN,RADAAN
SUNDARMFIN,SUNDARMFIN
SUNDRMBRAK,SUNDRMBRAK
WHEELS,WHEELS
LAMBODHARA,LAMBODHARA
MAITHANALL,MAITHANALL
ORISSAMINE,ORISSAMINE
MADRASFERT,MADRASFERT
VLIFE-RE,VLIFE-RE
