,date,open,high,low,close,volume
0,2021-06-08 15:00:00+05:30,227.15,233.7,216.75,217.8,140825
1,2021-06-08 15:01:00+05:30,220.4,225.0,218.35,224.15,74100
2,2021-06-08 15:02:00+05:30,224.75,224.85,213.9,222.2,88475
3,2021-06-08 15:03:00+05:30,222.6,224.5,216.05,222.0,64825
4,2021-06-08 15:04:00+05:30,222.3,224.95,219.0,224.95,65850
5,2021-06-08 15:05:00+05:30,224.6,225.0,207.0,210.9,153925
6,2021-06-08 15:06:00+05:30,211.0,212.8,194.3,196.85,175075
7,2021-06-08 15:07:00+05:30,197.55,204.9,194.9,203.9,142450
8,2021-06-08 15:08:00+05:30,203.55,203.55,198.5,201.4,85025
9,2021-06-08 15:09:00+05:30,202.35,204.35,199.6,204.35,66325
10,2021-06-08 15:10:00+05:30,204.65,210.2,200.05,201.5,131750
11,2021-06-08 15:11:00+05:30,202.5,205.3,200.35,203.35,67675
12,2021-06-08 15:12:00+05:30,203.7,205.0,198.0,198.65,71775
13,2021-06-08 15:13:00+05:30,199.05,201.45,197.05,200.5,49100
14,2021-06-08 15:14:00+05:30,200.7,202.6,200.3,201.6,54775
15,2021-06-08 15:15:00+05:30,202.5,203.8,200.7,203.15,68075
16,2021-06-08 15:16:00+05:30,202.75,204.0,201.3,202.05,51475
17,2021-06-08 15:17:00+05:30,201.7,203.0,200.0,200.7,47550
18,2021-06-08 15:18:00+05:30,200.3,202.0,191.3,191.35,97750
19,2021-06-08 15:19:00+05:30,192.15,194.5,187.6,187.8,136375
20,2021-06-08 15:20:00+05:30,189.35,202.1,189.35,200.35,207025
21,2021-06-08 15:21:00+05:30,201.2,202.6,197.65,201.75,141050
