,date,open,high,low,close,volume
0,2021-06-08 15:00:00+05:30,33.45,35.3,32.5,35.15,64700
1,2021-06-08 15:01:00+05:30,35.0,36.8,34.6,34.95,58750
2,2021-06-08 15:02:00+05:30,34.95,36.85,34.7,35.7,58700
3,2021-06-08 15:03:00+05:30,35.65,36.6,34.8,35.2,46650
4,2021-06-08 15:04:00+05:30,35.0,35.75,33.05,33.15,42050
5,2021-06-08 15:05:00+05:30,33.45,37.2,32.9,36.45,50675
6,2021-06-08 15:06:00+05:30,36.65,42.55,36.15,41.95,106175
7,2021-06-08 15:07:00+05:30,42.35,46.4,40.85,41.35,115300
8,2021-06-08 15:08:00+05:30,41.35,42.8,39.5,40.3,56350
9,2021-06-08 15:09:00+05:30,40.35,41.95,39.1,39.3,43575
10,2021-06-08 15:10:00+05:30,39.45,39.85,37.05,39.5,63500
11,2021-06-08 15:11:00+05:30,39.85,40.95,39.4,39.95,39750
12,2021-06-08 15:12:00+05:30,39.9,40.45,38.45,40.45,52400
13,2021-06-08 15:13:00+05:30,40.35,41.6,40.25,40.65,41100
14,2021-06-08 15:14:00+05:30,40.85,40.95,39.5,39.6,54350
15,2021-06-08 15:15:00+05:30,39.75,41.0,39.0,40.25,54225
16,2021-06-08 15:16:00+05:30,40.25,41.1,39.35,40.6,45125
17,2021-06-08 15:17:00+05:30,40.65,42.7,40.6,41.65,74250
18,2021-06-08 15:18:00+05:30,41.3,42.6,40.25,42.4,65175
19,2021-06-08 15:19:00+05:30,42.5,43.75,42.0,43.2,57625
20,2021-06-08 15:20:00+05:30,42.55,43.25,37.6,39.5,83200
21,2021-06-08 15:21:00+05:30,39.45,40.85,39.2,39.6,52050
