DateTime,Open,High,Low,Close,Volume
2021:05:31 13:32:55,675.0,680.0,638.35,639.6,8050
2021:05:31 13:35:30,639.6,672.2,639.6,666.35,12350
2021:05:31 13:38:09,666.35,691.2,666.35,678.8,8925
2021:05:31 13:40:40,684.55,692.0,679.05,680.8,19175
2021:05:31 13:43:06,680.8,680.8,652.0,664.05,11025
2021:05:31 13:45:39,664.05,684.3,664.05,675.25,11850
2021:05:31 13:48:18,675.25,686.0,665.0,670.4,8875
2021:05:31 13:50:54,670.4,671.0,660.0,669.8,6025
2021:05:31 13:53:34,669.8,672.25,660.0,660.0,6850
2021:05:31 13:56:00,660.0,676.25,650.0,670.0,30300
2021:05:31 13:58:35,670.0,684.45,660.0,677.25,10975
2021:05:31 14:01:07,677.25,718.75,674.5,715.0,13475
2021:05:31 14:03:43,715.0,736.75,711.65,728.25,8025
2021:05:31 14:06:10,732.45,761.2,728.0,739.95,7475
2021:05:31 14:08:45,737.6,749.0,730.05,740.05,18050
2021:05:31 14:11:30,740.05,775.5,739.4,748.05,9325
2021:05:31 14:14:19,748.05,750.0,735.0,749.55,10300
2021:05:31 14:16:50,749.55,775.45,740.0,743.0,7750
2021:05:31 14:19:19,743.0,750.0,736.65,747.45,8625
2021:05:31 14:22:00,747.45,752.9,735.0,750.0,8550
2021:05:31 14:24:35,750.0,750.0,717.2,730.0,11300
2021:05:31 14:27:15,730.0,753.85,705.2,746.3,6100
2021:05:31 14:29:54,746.3,750.1,739.25,745.0,5900
2021:05:31 14:32:24,745.0,763.85,736.0,760.35,7950
2021:05:31 14:35:06,754.1,755.65,705.2,705.2,11400
2021:05:31 14:37:40,705.2,746.95,681.35,733.9,8250
2021:05:31 14:40:21,733.9,737.2,710.0,710.0,11650
2021:05:31 14:43:03,710.0,734.1,710.0,725.55,10925
2021:05:31 14:45:37,725.55,729.25,723.4,724.45,11400
2021:05:31 14:48:12,724.85,744.7,700.0,735.05,7225
2021:05:31 14:51:15,735.05,744.75,710.05,721.6,8875
2021:05:31 14:53:55,721.6,732.35,708.2,731.7,7325
2021:05:31 14:56:35,731.7,742.0,725.65,727.2,8750
2021:05:31 14:59:29,727.2,727.2,719.4,720.0,5250
2021:05:31 15:02:10,720.0,768.4,708.45,747.85,8425
2021:05:31 15:04:43,747.85,747.85,726.55,730.0,10300
2021:05:31 15:07:20,730.0,750.85,725.6,750.8,6800
2021:05:31 15:10:06,750.8,762.8,739.25,745.8,5800
2021:05:31 15:12:39,745.8,775.0,745.8,767.2,6525
2021:05:31 15:15:19,767.2,786.9,760.0,785.95,6700
2021:05:31 15:17:51,785.95,793.15,774.5,776.2,7525
2021:05:31 15:20:22,776.2,792.35,776.2,792.35,11800
2021:05:31 15:22:49,794.9,798.6,755.0,760.0,11425
2021:05:31 15:25:22,760.0,762.5,752.8,754.85,5800
2021:05:31 15:27:54,754.85,754.85,737.1,738.9,9200
2021:05:31 15:29:34,738.9,738.9,728.1,730.05,7250
