instrument_token_x,exchange_token_x,tradingsymbol_x,name,last_price_x,expiry_x,strike_x,tick_size_x,lot_size_x,instrument_type_x,segment_x,exchange_x,instrument_token_y,exchange_token_y,tradingsymbol_y,last_price_y,expiry_y,strike_y,tick_size_y,lot_size_y,instrument_type_y,segment_y,exchange_y
590337,2306,BESTAGRO,BEST AGROLIFE,0.0,,0.0,0.05,1,EQ,NSE,NSE,138152964,539660,BESTAGRO,0.0,,0.0,0.05,1,EQ,BSE,BSE
109057,426,BHARATGEAR,BHARAT GEARS.,0.0,,0.0,0.05,1,EQ,NSE,NSE,129456132,505688,BHARATGEAR,0.0,,0.0,0.05,1,EQ,BSE,BSE
806145,3149,BORORENEW,BOROSIL RENEWABLES,0.0,,0.0,0.05,1,EQ,NSE,NSE,128568068,502219,BORORENEW,0.0,,0.0,0.05,1,EQ,BSE,BSE
1790465,6994,BSOFT,BIRLASOFT,0.0,,0.0,0.05,1,EQ,NSE,NSE,136294404,532400,BSOFT,0.0,,0.0,0.05,1,EQ,BSE,BSE
1591297,6216,CAMLINFINE,CAMLIN FINE SCIENCES,0.0,,0.0,0.05,1,EQ,NSE,NSE,136405508,532834,CAMLINFINE,0.0,,0.0,0.05,1,EQ,BSE,BSE
2763265,10794,CANBK,CANARA BANK,0.0,,0.0,0.05,1,EQ,NSE,NSE,136315652,532483,CANBK,0.0,,0.0,0.05,1,EQ,BSE,BSE
3812865,14894,CENTRALBK,CENTRAL BANK OF INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,136418564,532885,CENTRALBK,0.0,,0.0,0.05,1,EQ,BSE,BSE
5204225,20329,CGCL,CAPRI GLOBAL CAPITAL,0.0,,0.0,0.05,1,EQ,NSE,NSE,136088324,531595,CGCL,0.0,,0.0,0.05,1,EQ,BSE,BSE
716545,2799,CHEMFAB,CHEMFAB ALKALIS,0.0,,0.0,0.05,1,EQ,NSE,NSE,138564868,541269,CHEMFABALKA,0.0,,0.0,0.05,1,EQ,BSE,BSE
6953217,27161,CINELINE,CINELINE INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,136398596,532807,CINELINE,0.0,,0.0,0.05,1,EQ,BSE,BSE
2955009,11543,COFORGE,COFORGE,0.0,,0.0,0.05,1,EQ,NSE,NSE,136330500,532541,COFORGE,0.0,,0.0,0.05,1,EQ,BSE,BSE
595969,2328,CPSEETF,CPSE ETF,0.0,,0.0,0.01,1,EQ,NSE,NSE,137742596,538057,CPSEETF,0.0,,0.0,0.01,1,EQ,BSE,BSE
3031553,11842,CYBERMEDIA,CYBER MEDIA (INDIA).,0.0,,0.0,0.05,1,EQ,NSE,NSE,136355844,532640,CYBERMEDIA,0.0,,0.0,0.01,1,EQ,BSE,BSE
1471489,5748,CYIENT,CYIENT,0.0,,0.0,0.05,1,EQ,NSE,NSE,136236804,532175,CYIENT,0.0,,0.0,0.05,1,EQ,BSE,BSE
2067201,8075,DALBHARAT,DALMIA BHARAT,0.0,,0.0,0.05,1,EQ,NSE,NSE,138807300,542216,DALBHARAT,0.0,,0.0,0.05,1,EQ,BSE,BSE
4639745,18124,DBREALTY,D B REALTY,0.0,,0.0,0.05,1,EQ,NSE,NSE,136488964,533160,DBREALTY,0.0,,0.0,0.05,1,EQ,BSE,BSE
3513601,13725,DCBBANK,DCB BANK,0.0,,0.0,0.05,1,EQ,NSE,NSE,136389636,532772,DCBBANK,0.0,,0.0,0.05,1,EQ,BSE,BSE
2825985,11039,DCMNVL,DCM NOUVELLE,0.0,,0.0,0.05,1,EQ,NSE,NSE,138938628,542729,DCMNVL,0.0,,0.0,0.05,1,EQ,BSE,BSE
207617,811,DCMSHRIRAM,DCM SHRIRAM,0.0,,0.0,0.05,1,EQ,NSE,NSE,133981956,523367,DCMSHRIRAM,0.0,,0.0,0.05,1,EQ,BSE,BSE
310785,1214,DELTAMAGNT,DELTA MANUFACTURING,0.0,,0.0,0.05,1,EQ,NSE,NSE,129097220,504286,DELTAMAGNT,0.0,,0.0,0.05,1,EQ,BSE,BSE
4536833,17722,DEN,DEN NETWORKS,0.0,,0.0,0.05,1,EQ,NSE,NSE,136483076,533137,DEN,0.0,,0.0,0.05,1,EQ,BSE,BSE
219393,857,DHAMPURSUG,DHAMPUR SUGAR MILLS.,0.0,,0.0,0.05,1,EQ,NSE,NSE,128030468,500119,DHAMPURSUG,0.0,,0.0,0.05,1,EQ,BSE,BSE
2907905,11359,DHANBANK,DHANLAXMI BANK,0.0,,0.0,0.05,1,EQ,NSE,NSE,136238084,532180,DHANBANK,0.0,,0.0,0.01,1,EQ,BSE,BSE
3721473,14537,DISHTV,DISH TV INDIA.,0.0,,0.0,0.05,1,EQ,NSE,NSE,136406788,532839,DISHTV,0.0,,0.0,0.01,1,EQ,BSE,BSE
4934913,19277,EMAMIREAL,EMAMI REALTY,0.0,,0.0,0.05,1,EQ,NSE,NSE,136503812,533218,EMAMIREAL,0.0,,0.0,0.05,1,EQ,BSE,BSE
4644353,18142,EMMBI,EMMBI INDUSTRIES,0.0,,0.0,0.05,1,EQ,NSE,NSE,136489220,533161,EMMBI,0.0,,0.0,0.05,1,EQ,BSE,BSE
251137,981,EPL,EPL,0.0,,0.0,0.05,1,EQ,NSE,NSE,128034564,500135,EPL,0.0,,0.0,0.05,1,EQ,BSE,BSE
4476417,17486,EXPLEOSOL,EXPLEO SOLUTIONS,0.0,,0.0,0.05,1,EQ,NSE,NSE,136478980,533121,EXPLEOSOL,0.0,,0.0,0.05,1,EQ,BSE,BSE
3004161,11735,GDL,GATEWAY DISTRIPARKS.,0.0,,0.0,0.05,1,EQ,NSE,NSE,136351236,532622,GDL,0.0,,0.0,0.05,1,EQ,BSE,BSE
3496449,13658,GEECEE,GEECEE VENTURES,0.0,,0.0,0.05,1,EQ,NSE,NSE,136387588,532764,GEECEE,0.0,,0.0,0.05,1,EQ,BSE,BSE
2012673,7862,GEPIL,GE POWER INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,136271108,532309,GEPIL,0.0,,0.0,0.05,1,EQ,BSE,BSE
329985,1289,GFLLIMITED,GFL,0.0,,0.0,0.05,1,EQ,NSE,NSE,128044292,500173,GFLLIMITED,0.0,,0.0,0.05,1,EQ,BSE,BSE
3463169,13528,GMRINFRA,GMR INFRASTRUCTURE.,0.0,,0.0,0.05,1,EQ,NSE,NSE,136385028,532754,GMRINFRA,0.0,,0.0,0.05,1,EQ,BSE,BSE
4576001,17875,GODREJPROP,GODREJ PROPERTIES,0.0,,0.0,0.05,1,EQ,NSE,NSE,136486404,533150,GODREJPROP,0.0,,0.0,0.05,1,EQ,BSE,BSE
3015169,11778,GOKEX,GOKALDAS EXPORTS.,0.0,,0.0,0.05,1,EQ,NSE,NSE,136353284,532630,GOKEX,0.0,,0.0,0.05,1,EQ,BSE,BSE
3706881,14480,GOKULAGRO,GOKUL AGRO RESOURCES,0.0,,0.0,0.05,1,EQ,NSE,NSE,138169604,539725,GOKULAGRO,0.0,,0.0,0.05,1,EQ,BSE,BSE
316161,1235,GREAVESCOT,GREAVES COTTON.,0.0,,0.0,0.05,1,EQ,NSE,NSE,128372484,501455,GREAVESCOT,0.0,,0.0,0.05,1,EQ,BSE,BSE
2971137,11606,GUFICBIO,GUFIC BIOSCIENCES.,0.0,,0.0,0.05,1,EQ,NSE,NSE,130324228,509079,GUFICBIO,0.0,,0.0,0.05,1,EQ,BSE,BSE
2964737,11581,GULFPETRO,GP PETROLEUMS,0.0,,0.0,0.05,1,EQ,NSE,NSE,136331012,532543,GULFPETRO,0.0,,0.0,0.05,1,EQ,BSE,BSE
4647425,18154,HATHWAY,HATHWAY CABLE & DATACOM,0.0,,0.0,0.05,1,EQ,NSE,NSE,136489476,533162,HATHWAY,0.0,,0.0,0.05,1,EQ,BSE,BSE
996353,3892,HATSUN,HATSUN AGRO PRODUCT.,0.0,,0.0,0.05,1,EQ,NSE,NSE,136071940,531531,HATSUN,0.0,,0.0,0.05,1,EQ,BSE,BSE
3575297,13966,HBLPOWER,HBL POWER SYSTEMS.,0.0,,0.0,0.05,1,EQ,NSE,NSE,132421380,517271,HBLPOWER,0.0,,0.0,0.05,1,EQ,BSE,BSE
1177089,4598,HERITGFOOD,HERITAGE FOODS,0.0,,0.0,0.05,1,EQ,NSE,NSE,133005316,519552,HERITGFOOD,0.0,,0.0,0.05,1,EQ,BSE,BSE
5619457,21951,HFCL,HFCL,0.0,,0.0,0.05,1,EQ,NSE,NSE,128046852,500183,HFCL,0.0,,0.0,0.05,1,EQ,BSE,BSE
