date,open,high,low,close,volume
2020-05-04 09:21:00+05:30,20207.55,20265.3,20196.35,20215.2,0
2020-05-04 09:24:00+05:30,20219.9,20253.45,20198.4,20216.35,0
2020-05-04 09:27:00+05:30,20220.25,20268.05,20196.7,20257.85,0
2020-05-04 09:30:00+05:30,20258.35,20258.35,20158.0,20207.45,0
2020-05-04 09:33:00+05:30,20206.4,20210.8,20136.5,20150.85,0
2020-05-04 09:36:00+05:30,20137.45,20143.9,20101.3,20142.75,0
2020-05-04 09:39:00+05:30,20143.35,20163.9,20127.25,20152.7,0
2020-05-04 09:42:00+05:30,20155.0,20174.9,20130.65,20133.7,0
2020-05-04 09:45:00+05:30,20129.45,20136.65,20098.2,20106.45,0
2020-05-04 09:48:00+05:30,20104.6,20141.15,20104.6,20114.45,0
2020-05-04 09:51:00+05:30,20116.15,20120.5,20059.8,20066.45,0
2020-05-04 09:54:00+05:30,20069.0,20069.0,20013.4,20032.1,0
2020-05-04 09:57:00+05:30,20035.4,20038.6,19958.9,19964.5,0
2020-05-04 10:00:00+05:30,19957.5,19957.5,19898.8,19898.8,0
2020-05-04 10:03:00+05:30,19901.7,19930.35,19892.95,19930.35,0
2020-05-04 10:06:00+05:30,19927.75,19941.3,19864.25,19902.45,0
2020-05-04 10:09:00+05:30,19904.0,19952.25,19881.5,19950.85,0
2020-05-04 10:12:00+05:30,19954.7,19965.8,19913.7,19954.35,0
2020-05-04 10:15:00+05:30,19956.7,19984.6,19923.8,19984.6,0
2020-05-04 10:18:00+05:30,19985.15,19990.1,19943.65,19961.2,0
2020-05-04 10:21:00+05:30,19959.4,19968.75,19916.15,19936.65,0
2020-05-04 10:24:00+05:30,19935.8,19957.65,19913.9,19956.15,0
2020-05-04 10:27:00+05:30,19957.45,20000.0,19952.9,19981.7,0
2020-05-04 10:30:00+05:30,19976.95,20030.15,19976.95,19986.95,0
2020-05-04 10:33:00+05:30,19987.75,20017.95,19986.05,20003.6,0
2020-05-04 10:36:00+05:30,20005.8,20018.35,19980.1,20001.55,0
2020-05-04 10:39:00+05:30,20001.35,20014.2,19973.75,19980.65,0
2020-05-04 10:42:00+05:30,19978.45,20012.75,19971.25,20010.3,0
2020-05-04 10:45:00+05:30,20009.0,20054.65,20006.35,20039.5,0
2020-05-04 10:48:00+05:30,20042.0,20048.35,20016.6,20040.05,0
2020-05-04 10:51:00+05:30,20044.15,20060.8,20023.95,20029.15,0
2020-05-04 10:54:00+05:30,20027.85,20036.85,20005.5,20008.35,0
2020-05-04 10:57:00+05:30,20009.75,20009.75,19960.65,19960.65,0
2020-05-04 11:00:00+05:30,19958.95,19977.05,19946.4,19961.15,0
2020-05-04 11:03:00+05:30,19957.0,19979.1,19941.75,19976.15,0
2020-05-04 11:06:00+05:30,19976.15,20003.4,19974.1,19995.35,0
2020-05-04 11:09:00+05:30,19995.4,20013.95,19980.35,20003.6,0
2020-05-04 11:12:00+05:30,20003.35,20007.8,19970.3,19992.45,0
