,date,open,high,low,close,volume
0,2021-06-08 15:00:00+05:30,553.2,568.9,540.75,541.85,1325
1,2021-06-08 15:01:00+05:30,541.85,553.55,541.85,553.55,125
2,2021-06-08 15:02:00+05:30,553.55,553.55,537.55,547.75,1025
3,2021-06-08 15:03:00+05:30,547.75,554.3,545.8,550.75,250
4,2021-06-08 15:04:00+05:30,550.75,552.0,544.4,552.0,325
5,2021-06-08 15:05:00+05:30,552.0,557.0,522.6,529.0,1025
6,2021-06-08 15:06:00+05:30,529.0,533.85,505.0,505.0,2325
7,2021-06-08 15:07:00+05:30,505.0,513.0,496.2,512.9,775
8,2021-06-08 15:08:00+05:30,515.0,516.5,506.15,515.8,425
9,2021-06-08 15:09:00+05:30,515.8,515.8,506.5,515.0,625
10,2021-06-08 15:10:00+05:30,515.0,527.0,511.9,511.9,1975
11,2021-06-08 15:11:00+05:30,511.9,517.1,510.0,515.05,725
12,2021-06-08 15:12:00+05:30,515.05,521.0,515.0,516.0,475
13,2021-06-08 15:13:00+05:30,516.0,516.0,506.0,508.0,675
14,2021-06-08 15:14:00+05:30,508.0,514.85,508.0,511.15,400
15,2021-06-08 15:15:00+05:30,511.15,516.0,510.25,514.0,800
16,2021-06-08 15:16:00+05:30,514.0,516.0,512.35,512.35,200
17,2021-06-08 15:17:00+05:30,512.35,512.35,508.25,509.15,225
18,2021-06-08 15:18:00+05:30,509.15,513.7,500.0,500.0,425
19,2021-06-08 15:19:00+05:30,499.0,503.0,499.0,499.0,225
20,2021-06-08 15:20:00+05:30,495.0,518.05,491.05,518.05,2450
21,2021-06-08 15:21:00+05:30,515.0,518.0,511.05,514.6,5350
