,date,open,high,low,close,volume
0,2021-06-01 15:00:00+05:30,198.5,202.35,192.4,193.65,38275
1,2021-06-01 15:01:00+05:30,192.25,193.6,183.1,191.3,59650
2,2021-06-01 15:02:00+05:30,190.8,194.45,186.25,194.45,31725
3,2021-06-01 15:03:00+05:30,193.05,193.55,185.75,189.25,18675
4,2021-06-01 15:04:00+05:30,190.2,193.8,184.6,191.65,35325
5,2021-06-01 15:05:00+05:30,190.8,205.0,189.6,204.05,47225
6,2021-06-01 15:06:00+05:30,204.8,214.5,198.4,214.5,83175
7,2021-06-01 15:07:00+05:30,215.3,219.7,207.4,216.45,98375
8,2021-06-01 15:08:00+05:30,215.45,231.35,215.45,228.65,122800
9,2021-06-01 15:09:00+05:30,226.15,227.95,207.3,212.8,103475
10,2021-06-01 15:10:00+05:30,211.1,212.0,187.6,191.7,112375
11,2021-06-01 15:11:00+05:30,192.85,195.1,185.95,190.9,87825
12,2021-06-01 15:12:00+05:30,190.3,199.45,187.7,196.0,65775
13,2021-06-01 15:13:00+05:30,194.1,197.9,192.4,195.0,38475
14,2021-06-01 15:14:00+05:30,194.8,195.25,186.05,192.45,51025
15,2021-06-01 15:15:00+05:30,192.6,194.8,189.85,191.7,22275
16,2021-06-01 15:16:00+05:30,192.25,198.6,191.25,197.7,39175
17,2021-06-01 15:17:00+05:30,197.5,198.5,193.5,194.95,28175
18,2021-06-01 15:18:00+05:30,195.55,196.1,188.0,190.0,30300
19,2021-06-01 15:19:00+05:30,189.3,190.75,182.0,188.8,59675
20,2021-06-01 15:20:00+05:30,186.35,194.75,181.65,193.85,60775
21,2021-06-01 15:21:00+05:30,194.4,195.0,189.0,192.2,45350
