Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, FACE VALUE
502450,,SESHAPAPER,SESHASAYEE PAPER & BOARDS LTD.,Active,A ,2.0,INE630A01024,Paper & Paper Products,Equity,SESHAPAPER,Seshasayee Paper and Boards Limited,EQ,29-MAR-1995,2,1,2
502742,,SINTEX,SINTEX INDUSTRIES LTD.,Active,B ,1.0,INE429C01035,Textiles,Equity,SINTEX,Sintex Industries Limited,EQ,05-NOV-1998,1,1,1
502820,,DCM,DCM LTD.,Active,B ,10.0,INE498A01018,Other Industrial Products,Equity,DCM,DCM  Limited,EQ,29-MAR-1995,10,1,10
502937,,KESORAMIND,KESORAM INDUSTRIES LTD.,Active,B ,10.0,INE087A01019,Diversified,Equity,KESORAMIND,Kesoram Industries Limited,EQ,06-SEP-1995,10,1,10
502986,,VTL,VARDHMAN TEXTILES LTD.,Active,A ,10.0,INE825A01012,Textiles,Equity,VTL,Vardhman Textiles Limited,EQ,14-JAN-2003,10,1,10
503031,,PENINLAND,PENINSULA LAND LTD.,Active,T ,2.0,INE138A01028,Realty,Equity,PENINLAND,Peninsula Land Limited,BE,08-FEB-1995,2,1,2
503100,,PHOENIXLTD,The Phoenix Mills Ltd,Active,A ,2.0,INE211B01039,Realty,Equity,PHOENIXLTD,The Phoenix Mills Limited,EQ,23-APR-2007,2,1,2
503101,,MARATHON,MARATHON NEXTGEN REALTY LTD.,Active,B ,5.0,INE182D01020,Realty,Equity,MARATHON,Marathon Nextgen Realty Limited,EQ,29-SEP-2016,5,1,5
503169,,RUBYMILLS,RUBY MILLS LTD.,Active,B ,5.0,INE301D01026,Textiles,Equity,RUBYMILLS,The Ruby Mills Limited,EQ,29-MAR-1995,5,1,5
503310,,SWANENERGY,SWAN ENERGY LTD.,Active,A ,1.0,INE665A01038,Textiles,Equity,SWANENERGY,Swan Energy Limited,EQ,29-MAY-2012,1,1,1
503722,,BANSWRAS,BANSWARA SYNTEX LTD.-$,Active,B ,10.0,INE629D01012,Textiles,Equity,BANSWRAS,Banswara Syntex Limited,EQ,11-APR-2007,10,1,10
503806,,SRF,SRF LTD.,Active,A ,10.0,INE647A01010,Diversified,Equity,SRF,SRF Limited,EQ,18-AUG-2003,10,1,10
503811,,SIYSIL,SIYARAM SILK MILLS LTD.-$,Active,B ,2.0,INE076B01028,Textiles,Equity,SIYSIL,Siyaram Silk Mills Limited,EQ,29-JAN-2007,2,1,2
503960,,BBL,BHARAT BIJLEE LTD.-$,Active,A ,10.0,INE464A01028,Other Elect.Equip./ Prod.,Equity,BBL,Bharat Bijlee Limited,EQ,21-NOV-2006,10,1,10
504008,,EMCO,EMCO LTD.-$,Active,Z ,2.0,INE078A01026,Heavy Electrical Equipment,Equity,EMCO,Emco Limited,BZ,15-DEC-2005,2,1,2
504036,,HIRECT,HIND RECTIFIERS LTD.,Active,B ,2.0,INE835D01023,Electronic Components,Equity,HIRECT,Hind Rectifiers Limited,EQ,26-DEC-2006,2,1,2
