,date,open,high,low,close,volume
0,2021-06-08 15:00:00+05:30,35306.45,35320.0,35284.6,35293.9,9125
1,2021-06-08 15:01:00+05:30,35292.55,35300.0,35283.4,35300.0,6825
2,2021-06-08 15:02:00+05:30,35295.0,35300.0,35280.0,35297.45,7700
3,2021-06-08 15:03:00+05:30,35297.85,35301.35,35283.4,35301.3,5950
4,2021-06-08 15:04:00+05:30,35298.75,35309.0,35291.0,35309.0,6425
5,2021-06-08 15:05:00+05:30,35309.4,35310.0,35266.3,35272.0,9375
6,2021-06-08 15:06:00+05:30,35272.0,35279.95,35236.2,35236.2,10650
7,2021-06-08 15:07:00+05:30,35243.75,35256.45,35227.85,35252.6,10800
8,2021-06-08 15:08:00+05:30,35252.6,35255.9,35241.1,35252.65,6825
9,2021-06-08 15:09:00+05:30,35248.5,35260.1,35243.1,35254.45,8025
10,2021-06-08 15:10:00+05:30,35254.45,35268.6,35250.05,35252.75,6050
11,2021-06-08 15:11:00+05:30,35250.8,35257.5,35245.1,35250.0,6625
12,2021-06-08 15:12:00+05:30,35255.0,35264.95,35245.0,35247.0,6700
13,2021-06-08 15:13:00+05:30,35245.1,35246.0,35240.0,35246.0,5900
14,2021-06-08 15:14:00+05:30,35245.05,35255.6,35242.05,35255.6,3600
15,2021-06-08 15:15:00+05:30,35255.6,35259.55,35248.1,35255.95,9650
16,2021-06-08 15:16:00+05:30,35257.35,35260.0,35251.0,35253.85,6025
17,2021-06-08 15:17:00+05:30,35254.75,35254.75,35244.9,35249.9,10875
18,2021-06-08 15:18:00+05:30,35250.0,35250.05,35230.5,35233.3,7900
19,2021-06-08 15:19:00+05:30,35232.25,35237.6,35225.55,35230.0,11375
20,2021-06-08 15:20:00+05:30,35231.0,35265.0,35228.0,35256.85,21825
21,2021-06-08 15:21:00+05:30,35256.9,35262.85,35250.15,35258.65,18750
