datetime,open,high,low,close,volume
2021:05:31 13:12:28,228.75,236.45,222.8,230.45,7725
2021:05:31 13:14:36,230.45,235.3,227.7,233.5,10425
2021:05:31 13:16:43,233.5,246.45,232.0,246.4,6925
2021:05:31 13:18:53,246.4,246.4,232.3,232.65,6375
2021:05:31 13:21:09,232.3,238.15,230.0,233.6,6350
2021:05:31 13:23:19,232.55,243.95,225.75,242.75,6650
2021:05:31 13:25:29,242.85,245.2,229.8,234.2,8125
2021:05:31 13:27:42,233.85,246.85,233.5,245.75,7275
2021:05:31 13:29:52,245.15,245.15,236.5,244.75,8325
2021:05:31 13:31:59,245.65,253.65,235.3,250.05,7850
2021:05:31 13:34:08,249.75,257.45,248.0,248.0,7550
2021:05:31 13:36:20,245.5,246.4,233.0,234.6,8525
2021:05:31 13:38:31,234.6,241.0,233.35,236.55,6450
2021:05:31 13:40:40,236.55,239.75,229.95,239.75,6275
2021:05:31 13:42:49,240.0,251.2,239.2,246.9,6750
2021:05:31 13:44:59,245.6,245.6,233.5,241.65,6875
2021:05:31 13:47:07,241.65,243.8,234.7,237.1,7250
2021:05:31 13:49:14,237.1,252.35,236.45,250.35,8550
2021:05:31 13:51:23,250.35,254.2,239.25,247.45,7675
2021:05:31 13:53:34,247.45,253.0,245.2,252.15,7400
2021:05:31 13:55:42,253.4,256.9,238.0,239.45,8900
2021:05:31 13:57:54,238.25,248.95,238.25,243.5,7375
2021:05:31 14:00:05,244.45,244.9,228.5,230.25,8425
2021:05:31 14:02:12,229.2,229.6,218.2,223.9,7650
2021:05:31 14:04:19,223.9,223.9,206.0,208.95,7150
2021:05:31 14:06:27,209.4,214.8,204.15,213.6,9775
2021:05:31 14:08:41,213.6,217.5,211.85,215.4,8950
2021:05:31 14:10:54,215.5,215.5,199.45,209.7,8250
2021:05:31 14:13:04,209.95,215.95,206.2,213.85,6500
2021:05:31 14:15:15,213.85,214.8,201.25,201.6,7675
2021:05:31 14:17:26,202.05,213.55,200.85,211.65,6825
2021:05:31 14:19:42,211.65,213.65,207.9,212.35,6950
2021:05:31 14:21:54,212.05,216.2,209.0,212.15,5900
2021:05:31 14:24:08,211.95,218.8,210.65,214.45,6175
2021:05:31 14:26:17,215.1,222.0,215.05,219.15,6300
2021:05:31 14:28:30,218.65,218.8,206.7,210.0,6800
2021:05:31 14:30:41,209.7,215.0,209.7,212.75,6575
2021:05:31 14:32:51,212.75,214.6,202.35,207.0,6200
2021:05:31 14:34:58,207.0,218.2,205.0,218.2,7425
2021:05:31 14:37:04,218.2,232.5,209.85,213.35,7125
2021:05:31 14:39:16,212.9,216.75,209.0,215.5,7150
2021:05:31 14:41:26,215.0,220.0,211.5,212.65,6450
2021:05:31 14:43:37,212.2,217.0,212.2,216.3,6825
2021:05:31 14:45:49,215.75,221.05,215.0,221.05,7450
2021:05:31 14:47:56,221.05,226.9,205.0,209.9,7575
2021:05:31 14:50:09,209.5,217.1,207.45,214.0,7200
2021:05:31 14:52:24,213.7,223.75,213.7,221.1,6375
2021:05:31 14:54:40,221.45,221.45,207.15,213.85,9925
2021:05:31 14:56:58,213.85,218.05,211.2,215.35,8475
2021:05:31 14:59:14,216.45,222.0,214.85,219.35,6975
2021:05:31 15:01:23,218.75,226.35,195.6,204.3,7150
2021:05:31 15:03:36,205.75,215.15,205.0,212.0,6425
2021:05:31 15:05:47,212.2,213.9,205.05,208.8,7800
2021:05:31 15:07:57,208.5,213.35,200.9,205.2,7400
2021:05:31 15:10:03,205.2,209.95,201.8,209.25,7600
2021:05:31 15:12:10,210.0,210.0,199.05,201.55,8350
2021:05:31 15:14:16,200.9,203.35,193.65,194.0,8025
2021:05:31 15:16:23,194.25,195.9,187.0,188.3,8100
2021:05:31 15:18:31,188.4,192.0,185.4,188.95,9075
2021:05:31 15:20:40,188.55,190.0,180.5,186.95,8425
2021:05:31 15:22:52,186.75,196.5,181.5,183.7,10075
2021:05:31 15:25:03,182.85,195.3,182.7,195.3,7525
2021:05:31 15:27:16,194.9,200.0,192.35,199.95,9200
2021:05:31 15:29:40,200.0,202.95,196.9,197.1,8725
2021:05:31 15:29:53,197.0,198.6,197.0,198.6,650
