,date,open,high,low,close,volume
0,2021-06-01 15:00:00+05:30,52.45,53.4,50.55,50.75,10950
1,2021-06-01 15:01:00+05:30,50.7,50.75,47.3,49.8,29575
2,2021-06-01 15:02:00+05:30,49.8,50.45,48.0,50.25,6775
3,2021-06-01 15:03:00+05:30,50.2,50.2,48.2,49.55,5625
4,2021-06-01 15:04:00+05:30,49.6,50.7,47.6,49.7,10275
5,2021-06-01 15:05:00+05:30,49.45,54.0,49.05,54.0,12350
6,2021-06-01 15:06:00+05:30,53.65,58.0,51.9,58.0,16800
7,2021-06-01 15:07:00+05:30,58.1,59.3,55.2,58.65,24000
8,2021-06-01 15:08:00+05:30,58.5,64.4,58.35,63.55,31600
9,2021-06-01 15:09:00+05:30,62.6,63.55,55.8,57.8,28200
10,2021-06-01 15:10:00+05:30,57.3,57.4,49.0,50.25,33700
11,2021-06-01 15:11:00+05:30,50.6,51.4,48.35,50.7,16675
12,2021-06-01 15:12:00+05:30,49.75,52.7,49.0,52.2,11950
13,2021-06-01 15:13:00+05:30,51.55,52.45,51.0,51.15,15000
14,2021-06-01 15:14:00+05:30,51.8,51.8,48.75,50.95,11425
15,2021-06-01 15:15:00+05:30,51.0,51.4,50.0,50.0,9825
16,2021-06-01 15:16:00+05:30,50.0,51.85,50.0,51.7,11425
17,2021-06-01 15:17:00+05:30,51.7,51.75,50.0,50.6,8100
18,2021-06-01 15:18:00+05:30,50.6,51.05,48.45,49.05,10800
19,2021-06-01 15:19:00+05:30,48.85,49.4,46.35,49.15,20900
20,2021-06-01 15:20:00+05:30,48.15,51.9,47.35,51.75,26250
21,2021-06-01 15:21:00+05:30,51.4,52.3,50.3,51.75,15025
